Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,12212,6505,5706,1.09,0.58,0.51,114,14929588.74,7952585.552,6975780.655,-340394.6233
1,11572,6185,5387,1.03,0.55,0.48,114.81,14147166.8,7561374.58,6585792.217,-322555.403
2,13261,7183,6077,1.18,0.64,0.54,118.2,16212027.21,8781463.8,7429340.876,-369634.2204
3,12796,6908,5888,1.14,0.61,0.52,117.32,15643548.77,8445266.871,7198281.896,-356672.9119
4,14149,7703,6446,1.26,0.69,0.57,119.5,17297637.66,9417181.631,7880456.029,-394386.1386
5,13321,7238,6083,1.18,0.64,0.54,118.99,16285379.27,8848703.186,7436676.082,-371306.6473
6,13201,7269,5931,1.17,0.65,0.53,122.56,16138675.15,8886601.749,7250850.87,-367961.7935
7,12341,6563,5778,1.1,0.58,0.51,113.59,15087295.66,8023492.541,7063803.124,-343990.3412
8,12515,6810,5705,1.11,0.61,0.51,119.37,15300016.63,8325458.51,6974558.121,-348840.3792
9,11755,6446,5309,1.05,0.57,0.47,121.42,14370890.57,7880456.029,6490434.542,-327656.305
10,12282,6597,5684,1.09,0.59,0.51,116.06,15015166.14,8065058.707,6948884.901,-342345.788
11,10891,5935,4957,0.97,0.53,0.44,119.73,13314620.95,7255741.007,6060102.472,-303573.3576
12,11349,6175,5175,1.01,0.55,0.46,119.32,13874541.65,7549149.237,6326614.947,-316339.5496
13,11790,6385,5405,1.05,0.57,0.48,118.13,14413679.27,7805881.437,6607797.834,-328631.8874
14,11974,6524,5450,1.06,0.58,0.48,119.71,14638625.58,7975813.704,6662811.877,-333760.6632
15,11793,6557,5236,1.05,0.58,0.47,125.23,14417346.87,8016157.335,6401189.539,-328715.5087
16,13263,7274,5989,1.18,0.65,0.53,121.46,16214472.28,8892714.421,7321757.859,-369689.968
17,13067,6969,6099,1.16,0.62,0.54,114.26,15974855.56,8519841.462,7456236.631,-364226.7067
18,12964,6871,6093,1.15,0.61,0.54,112.77,15848934.53,8400033.102,7448901.425,-361355.7072
19,13631,6913,6719,1.21,0.61,0.6,102.89,16664364.9,8451379.542,8214207.89,-379947.5197
20,15559,7821,7738,1.38,0.7,0.69,101.07,19021411.01,9561440.677,9459970.331,-433688.171
21,16665,8583,8082,1.48,0.76,0.72,106.2,20373533.93,10493011.81,9880522.126,-464516.5736
22,17035,9110,7924,1.52,0.81,0.7,114.97,20825871.62,11137287.38,9687361.709,-474829.8729
23,17891,9310,8581,1.59,0.83,0.76,108.5,21872360.97,11381794.23,10490566.74,-498689.8301
24,23636,12067,11569,2.1,1.07,1.03,104.3,28895820.46,14752321.27,14143499.19,-658824.7066
25,21017,10701,10316,1.87,0.95,0.92,103.73,25694003.16,13082339.43,12611663.73,-585823.272
26,20090,10079,10011,1.79,0.9,0.89,100.68,24560713.87,12321923.1,12238790.77,-559984.2763
27,21651,10897,10753,1.93,0.97,0.96,101.34,26469089.9,13321956.15,13145911.21,-603495.2497
28,19122,9627,9495,1.7,0.86,0.84,101.39,23377300.68,11769337.6,11607963.08,-533002.4555
29,16965,8497,8468,1.51,0.76,0.75,100.34,20740294.22,10387873.86,10352420.36,-472878.7082
30,16078,8127,7950,1.43,0.72,0.71,102.23,19655906.3,9935536.169,9719147.6,-448154.6637
31,16058,8123,7935,1.43,0.72,0.71,102.37,19631455.62,9930646.032,9700809.586,-447597.1881
32,18605,9530,9074,1.65,0.85,0.81,105.03,22745250.45,11650751.78,11093276.14,-518591.7103
33,16050,8163,7886,1.43,0.73,0.7,103.51,19621675.34,9979547.404,9640905.406,-447374.1978
34,15756,7833,7922,1.4,0.7,0.7,98.88,19262250.26,9576111.088,9684916.64,-439179.306
35,16149,8277,7873,1.44,0.74,0.7,105.13,19742706.24,10118916.31,9625012.46,-450133.7022
36,15895,8034,7861,1.41,0.71,0.7,102.2,19432182.53,9821840.481,9610342.048,-443053.7617
37,14994,7694,7300,1.33,0.68,0.65,105.4,18330679.13,9406178.822,8924500.312,-417939.4843
38,17226,8848,8378,1.53,0.79,0.75,105.61,21059375.67,10816983.39,10242392.28,-480153.7652
39,17528,8908,8620,1.56,0.79,0.77,103.34,21428581.02,10890335.45,10538245.57,-488571.6473
40,18754,9558,9195,1.67,0.85,0.82,103.95,22927408.06,11684982.74,11241202.79,-522744.9038
