Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,28709,15414,13295,1.58,0.8473625881,0.730873596,115.94,18492351.19,9928632.181,8563719.011,-220058.9792
1,27587,14899,12688,1.52,0.8190512002,0.6975046398,117.43,17769636.43,9596904.818,8172731.615,-211458.6735
2,35390,18912,16478,1.95,1.039660131,0.9058544652,114.77,22795789.08,12181801.73,10613987.35,-271269.89
3,38928,20566,18362,2.14,1.130586414,1.009424669,112,25074723.86,13247194.07,11827529.78,-298389.2139
4,37253,19596,17657,2.05,1.077262052,0.9706683027,110.98,23995804.76,12622387.19,11373417.57,-285550.0767
5,40152,20710,19442,2.21,1.138502608,1.068796123,106.52,25863139.96,13339948.91,12523191.05,-307771.3655
6,36771,19083,17688,2.02,1.049060612,0.9723724833,107.89,23685333.72,12291948.09,11393385.62,-281855.4712
7,32628,16869,15759,1.79,0.9273491305,0.8663284693,107.04,21016699.8,10865842.5,10150857.31,-250098.7277
8,32898,17182,15716,1.81,0.9445558575,0.8639646058,109.33,21190615.12,11067455.44,10123159.68,-252168.3199
9,31597,16448,15149,1.74,0.9042052581,0.8327945924,108.57,20352600.95,10594663.43,9757937.518,-242195.9513
10,35793,18587,17206,1.97,1.021793722,0.9458752232,108.03,23055373.79,11972459.22,11082914.58,-274358.9481
11,32162,16642,15520,1.77,0.9148701304,0.8531897864,107.23,20716534.85,10719624.81,9996910.046,-246526.7647
12,29532,15294,14238,1.62,0.8407657598,0.7827136713,107.42,19022470.84,9851336.484,9171134.358,-226367.403
13,31509,16232,15277,1.73,0.8923309673,0.8398312092,106.25,20295917.44,10455531.18,9840386.261,-241521.4175
14,31241,15932,15309,1.72,0.8758388967,0.8415903634,104.07,20123290.38,10262291.94,9860998.446,-239467.1556
15,28984,14969,14015,1.59,0.82289935,0.7704545654,106.81,18669487.16,9641993.974,9027493.189,-222166.8972
