Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,17267,9279,7988,1.39,0.74,0.64,116.16,17128683.11,9204670.791,7924012.315,-150732.4113
1,15131,8281,6850,1.21,0.66,0.55,120.89,15009793.48,8214665.246,6795128.237,-132086.1827
2,15511,8502,7008,1.24,0.68,0.56,121.32,15386749.5,8433894.931,6951862.582,-135403.3956
3,17654,9660,7995,1.42,0.78,0.64,120.83,17512583.05,9582618.799,7930956.242,-154110.7309
4,18825,10304,8520,1.51,0.83,0.68,120.94,18674202.78,10221460.05,8451750.742,-164332.9845
5,21263,11285,9979,1.71,0.91,0.8,113.09,21092673.24,11194601.78,9899063.457,-185615.5245
6,27073,14382,12690,2.17,1.15,1.02,113.33,26856132.38,14266793.33,12588347.06,-236333.9649
7,26267,13880,12387,2.11,1.11,0.99,112.05,26056588.82,13768814.59,12287774.23,-229297.9816
8,25392,13370,12022,2.04,1.07,0.96,111.21,25188597.99,13262899.93,11925698.05,-221659.6623
9,27561,14345,13216,2.21,1.15,1.06,108.54,27340223.26,14230089.72,13110133.55,-240593.9647
10,24076,12496,11579,1.93,1,0.93,107.92,23883139.77,12395901.09,11486246.7,-210171.63
11,21056,10937,10119,1.69,0.88,0.81,108.08,20887331.41,10849389.42,10037941.99,-183808.5164
12,20511,10600,9911,1.65,0.85,0.8,106.95,20346697.12,10515088.95,9831608.17,-179050.9347
13,20922,10875,10047,1.68,0.87,0.81,108.24,20754404.82,10787886.07,9966518.745,-182638.7624
14,23822,12348,11473,1.91,0.99,0.92,107.63,23631174.43,12249086.64,11381095.81,-207954.335
15,20138,10445,9693,1.62,0.84,0.78,107.76,19976685.03,10361330.58,9615354.453,-175794.8283
16,17876,9209,8667,1.43,0.74,0.7,106.25,17732804.73,9135231.524,8597573.202,-156048.6816
17,18654,9642,9011,1.5,0.77,0.72,107,18504572.58,9564762.988,8938817.598,-162840.2387
18,17062,8859,8204,1.37,0.71,0.66,107.98,16925325.25,8788035.191,8138282.053,-148942.8622
19,15793,8038,7755,1.27,0.64,0.62,103.65,15666490.55,7973611.792,7692878.756,-137865.1168
20,17870,9044,8826,1.43,0.73,0.71,102.47,17726852.79,8971553.252,8755299.536,-155996.3045
21,18079,8943,9136,1.45,0.72,0.73,97.89,17934178.6,8871362.311,9062816.289,-157820.7717
22,21023,10393,10630,1.69,0.83,0.85,97.77,20854595.76,10309747.12,10544848.64,-183520.4427
23,22825,11333,11491,1.83,0.91,0.92,98.63,22642160.88,11242217.27,11398951.62,-199251.0157
24,23940,11735,12205,1.92,0.94,0.98,96.15,23748229.2,11640997.06,12107232.14,-208984.4169
25,25264,12560,12704,2.03,1.01,1.02,98.87,25061623.33,12459388.42,12602234.91,-220542.2853
26,26962,13286,13676,2.16,1.07,1.1,97.15,26746021.54,13179572.81,13566448.73,-235364.9895
27,25681,12704,12977,2.06,1.02,1.04,97.9,25475282.96,12602234.91,12873048.05,-224182.49
28,27346,13713,13633,2.19,1.1,1.09,100.59,27126945.52,13603152.34,13523793.18,-238717.1205
29,22178,11062,11116,1.78,0.89,0.89,99.51,22000343.66,10973388.11,11026955.55,-193603.0242
30,26044,13033,13012,2.09,1.05,1.04,100.16,25835375.16,12928599.46,12907767.68,-227351.3014
31,24581,12392,12190,1.97,0.99,0.98,101.66,24384094.48,12292734.18,12092352.29,-214580.0314
32,24775,12451,12324,1.99,1,0.99,101.03,24576540.45,12351261.56,12225278.89,-216273.556
33,28450,14437,14013,128,1.16,1.12,103.03,28222101.95,14321352.75,13900749.2,-248354.4972
34,19989,10066,9923,1.6,0.81,0.8,101.44,19828878.59,9985366.546,9843512.044,-174494.1316
35,11899,5948,5951,0.95,0.48,0.48,99.95,11803683.34,5900353.687,5903329.656,-103872.4134
36,15301,7685,7616,1.23,0.62,0.61,100.91,15178431.7,7623439.49,7554992.213,-133570.199
