Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,16465,8879,7587,1.35,0.72,0.63,117.04,16535229.35,8916872.238,7619361.377,-124014.2201
1,14034,7840,6194,1.13,0.62,0.51,126.58,14093860.23,7873440.516,6220419.714,-105703.9517
2,15727,8659,7068,1.29,0.7,0.59,122.51,15794081.5,8695933.856,7098147.649,-118455.6113
3,15771,8487,7283,1.29,0.69,0.6,116.53,15838269.18,8523200.212,7314064.704,-118787.0189
4,17755,9658,8096,1.45,0.78,0.67,119.29,17830731.68,9699194.962,8130532.451,-133730.4876
5,19278,10310,8968,1.55,0.82,0.73,114.97,19360227.84,10353975.98,9006251.856,-145201.7088
6,21081,11100,9982,1.67,0.88,0.79,111.2,21170918.31,11147345.63,10024576.94,-158781.8873
7,27021,14298,12723,2.09,1.1,0.99,112.38,27136254.62,14358986.29,12777268.33,-203521.9096
8,26315,13759,12556,2.06,1.07,0.99,109.58,26427243.26,13817687.25,12609556.01,-198204.3245
9,25213,13017,12196,1.98,1.02,0.96,106.73,25320542.82,13072522.35,12248020.48,-189904.0712
10,27177,14081,13095,2.11,1.09,1.02,107.53,27292920.01,14141060.7,13150855.05,-204696.9001
11,23373,12247,11127,1.86,0.97,0.89,110.07,23472694.54,12299238.01,11174460.79,-176045.209
12,21364,11011,10353,1.74,0.9,0.84,106.35,21455125.41,11057966.01,10397159.4,-160913.4405
13,19743,10266,9477,1.64,0.85,0.79,108.33,19827211.24,10309788.31,9517422.93,-148704.0843
14,20087,10559,9528,1.67,0.87,0.8,110.81,20172678.53,10604038.06,9568640.464,-151295.0889
15,22829,11856,10974,1.87,0.97,0.9,108.04,22926374.18,11906570.25,11020808.19,-171947.8063
16,18551,9742,8809,1.55,0.81,0.74,110.6,18630126.92,9783553.254,8846573.662,-139725.9519
17,16943,8980,7964,1.44,0.75,0.68,112.75,17015268.2,9018303.04,7997969.422,-127614.5115
18,17734,9169,8564,1.48,0.76,0.72,107.07,17809642.11,9208109.195,8600528.645,-133572.3158
19,15684,8166,7518,1.31,0.68,0.63,108.61,15750898.09,8200831.027,7550067.066,-118131.7357
20,15822,7813,8009,1.32,0.66,0.66,97.55,15889486.72,7846325.351,8043161.364,-119171.1504
21,17363,8613,8751,1.43,0.71,0.72,98.42,17437059.65,8649737.649,8788326.27,-130777.9474
22,18495,9242,9253,1.52,0.76,0.76,99.88,18573888.05,9281420.568,9292467.487,-139304.1604
23,21519,10677,10842,1.75,0.87,0.88,98.47,21610786.54,10722541.38,10888245.16,-162080.899
24,23157,11369,11788,1.88,0.93,0.95,96.44,23255773.22,11417493.01,11838280.2,-174418.2991
25,24191,12087,12104,1.97,0.99,0.98,99.86,24294183.61,12138555.55,12155628.06,-182206.3771
26,25069,12380,12689,2.01,1,1.01,97.57,25175928.61,12432805.3,12743123.3,-188819.4646
27,26838,13344,13494,2.14,1.07,1.07,98.88,26952474.05,13400917.12,13551556.93,-202143.5554
28,25803,12891,12912,2.04,1.02,1.02,99.84,25913059.39,12945984.91,12967074.48,-194347.9454
29,26900,13501,13398,2.1,1.06,1.04,100.77,27014738.51,13558586.79,13455147.45,-202610.5388
30,22875,11428,11448,1.79,0.9,0.89,99.83,22972570.38,11476744.67,11496829.98,-172294.2779
