Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,12347,6724,5624,1.04,0.56,0.47,119.56,13678571.9,7449155.053,6230524.69,-429507.1576
1,11614,6419,5195,0.97,0.54,0.44,123.55,12866520.94,7111262.088,5755258.849,-404008.7574
2,12459,6809,5650,1.04,0.57,0.47,120.51,13802650.62,7543321.944,6259328.68,-433403.2296
3,11827,6457,5370,0.99,0.54,0.45,120.23,13102492.09,7153360.228,5949131.861,-411418.2516
4,12309,6712,5596,1.03,0.56,0.47,119.94,13636473.76,7435860.903,6199505.008,-428185.276
5,13089,7333,5756,1.1,0.61,0.48,127.39,14500593.47,8123833.135,6376760.334,-455318.6349
6,13850,7629,6221,1.16,0.64,0.52,122.63,15343664.11,8451755.487,6891908.623,-481791.0531
7,13315,7338,5977,1.12,0.62,0.5,122.77,14750966.62,8129372.364,6621594.252,-463180.3517
8,15134,8312,6822,1.27,0.7,0.57,121.85,16766138.1,9208414.158,7557723.939,-526456.7363
9,15200,8330,6871,1.27,0.7,0.58,121.23,16839255.92,9228355.382,7612008.383,-528752.6359
10,16172,8741,7432,1.36,0.73,0.62,117.61,17916082.02,9683679.999,8233509.868,-562564.9755
11,17380,9459,7920,1.46,0.79,0.66,119.43,19254359.73,10479113.27,8774138.61,-604586.8955
12,17141,9272,7870,1.44,0.78,0.66,117.81,18989584.59,10271946.11,8718746.321,-596272.956
13,18700,10039,8661,1.57,0.84,0.73,115.92,20716716.16,11121663.83,9595052.337,-650504.8875
14,19742,10546,9196,1.66,0.88,0.77,114.68,21871091.47,11683341.64,10187749.83,-686752.2722
15,19936,10632,9304,1.67,0.89,0.78,114.27,22086013.55,11778616.38,10307397.18,-693500.8256
16,24525,13055,11470,2.06,1.09,0.96,113.82,27169917.86,14462926.71,12706991.14,-853135.4207
17,21787,11555,10232,1.83,0.97,0.86,112.93,24136636.1,12801158.04,11335478.06,-757890.3735
18,19765,10330,9436,1.66,0.87,0.79,109.47,21896571.92,11444046.95,10453632.82,-687552.3584
19,19010,9910,9100,1.59,0.83,0.76,108.9,21060148.36,10978751.72,10081396.64,-661288.6584
20,16585,8394,8191,1.39,0.7,0.69,102.49,18373622.33,9299257.512,9074364.818,-576931.7412
21,14137,7095,7041,1.19,0.59,0.59,100.77,15661615.85,7860165.839,7800342.166,-491774.7377
22,14287,6833,7454,1.2,0.57,0.62,91.68,15827792.72,7569910.243,8257882.475,-496992.6914
23,14452,6917,7535,1.21,0.58,0.63,91.8,16010587.27,7662969.289,8347617.984,-502732.4404
24,16699,8031,8669,1.4,0.67,0.73,92.64,18499916.75,8897109.493,9603915.103,-580897.3859
25,14691,6985,7706,1.23,0.59,0.65,90.64,16275362.41,7738302.802,8537059.613,-511046.3798
26,14369,6979,7390,1.2,0.59,0.62,94.44,15918636.07,7731655.728,8186980.345,-499845.1727
27,15379,7469,7910,1.29,0.63,0.66,94.43,17037560.31,8274500.162,8763060.153,-534979.3939
28,15341,7427,7914,1.29,0.62,0.66,93.84,16995462.17,8227970.639,8767491.536,-533657.5123
29,14329,7008,7321,1.2,0.59,0.61,95.72,15874322.24,7763783.255,8110538.986,-498453.7184
30,16892,8278,8614,1.42,0.69,0.72,96.1,18713730.99,9170747.401,9542983.585,-587611.153
31,16756,8150,8606,1.4,0.68,0.72,94.69,18563063.96,9028943.141,9534120.818,-582880.2083
32,18815,9158,9657,1.58,0.77,0.81,94.84,20844118.43,10145651.69,10698466.74,-654505.3187
33,20046,9756,10290,1.68,0.82,0.86,94.82,22207876.59,10808143.47,11399733.12,-697327.3249
34,20890,10476,10413,1.75,0.88,0.87,100.6,23142898.43,11605792.43,11535998.15,-726687.0107
35,22309,11017,11292,1.87,0.92,0.95,97.56,24714931.6,12205137,12509794.59,-776048.8522
36,24365,11937,12428,2.04,1,1.04,96.05,26992662.53,13224355.13,13768307.41,-847569.6035
37,22642,11109,11533,1.9,0.93,0.97,96.32,25083844.24,12307058.82,12776785.43,-787632.7093
38,24756,12141,12615,2.08,1.02,1.06,96.24,27425830.23,13450355.67,13975474.57,-861171.0693
39,19880,9829,10051,1.67,0.82,0.84,97.79,22023974.19,10889016.21,11134957.98,-691552.7895
40,23400,11575,11825,1.96,0.97,0.99,97.89,25923591.35,12823314.95,13100276.4,-814000.7684
41,22941,11337,11605,1.92,0.95,0.97,97.69,25415090.13,12559647.65,12856550.33,-798033.8302
42,22840,11367,11473,1.92,0.95,0.96,99.08,25303197.71,12592883.03,12710314.68,-794520.4081
