Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,19601,10489,9112,1.5,0.804535281,0.6989155763,115.11,18018858.52,9642355.342,8376503.182,-232443.275
1,18189,9855,8334,1.4,0.7559057292,0.6392408267,118.25,16720831.47,9059530.165,7661301.308,-215698.726
2,20686,11056,9630,1.59,0.8480257476,0.7386476076,114.81,19016280.16,10163588.58,8852691.577,-245310.0141
3,25433,13477,11956,1.95,1.033723137,0.9170582343,112.72,23380114.73,12389171.79,10990942.94,-301603.48
4,27850,14477,13373,2.14,1.1104259,1.025746049,108.26,25602020.81,13308454.41,12293566.4,-330266.0685
5,26450,13964,12486,2.03,1.071077382,0.9577106987,111.84,24315025.15,12836862.43,11478162.72,-313663.8244
6,28299,14764,13535,2.17,1.132439593,1.038171897,109.08,26014778.7,13572288.52,12442490.19,-335590.6453
7,25897,13555,12342,1.99,1.039705952,0.9466655008,109.83,23806661.87,12460875.84,11345786.03,-307105.9381
8,23094,11949,11145,1.77,0.9165213149,0.8548522935,107.21,21229912.7,10984507.96,10245404.74,-273865.8738
9,23088,11961,11127,1.77,0.9174417481,0.8534716438,107.5,21224397,10995539.35,10228857.65,-273794.7213
10,22985,12022,10963,1.76,0.9221206166,0.8408923906,109.66,21129710.89,11051615.59,10078095.3,-272573.2705
11,24860,12968,11892,1.91,0.9946814304,0.9121492574,109.05,22853365.79,11921256.94,10932108.85,-294808.4187
12,23683,12246,11437,1.82,0.9393020355,0.8772495003,107.07,21771370.16,11257534.9,10513835.26,-280850.675
13,21287,11000,10287,1.63,0.8437303929,0.7890413228,106.93,19568769.01,10112108.76,9456660.254,-252437.1203
14,22501,11597,10904,1.73,0.8895219424,0.8363669276,106.36,20684778.11,10660920.48,10023857.63,-266833.6376
15,22183,11441,10742,1.7,0.8775563113,0.82394108,106.51,20392446.24,10517512.39,9874933.844,-263062.5564
16,20406,10533,9873,1.57,0.8079102025,0.757286379,106.68,18758881.03,9682803.777,9076077.252,-241989.5653
17,20930,10694,10236,1.61,0.8202593474,0.7851294819,104.47,19240585.12,9830808.278,9409776.841,-248203.548
18,21844,11153,10691,1.68,0.8554659156,0.8200292391,104.32,20080809.43,10252759,9828050.431,-259042.4416
19,22081,11223,10858,1.69,0.860835109,0.8328386005,103.36,20298679.41,10317108.78,9981570.627,-261852.9644
20,23972,12155,11817,1.84,0.9323220841,0.9063965502,102.86,22037042.83,11173880.18,10863162.65,-284277.8525
21,24682,12278,12404,1.89,0.941756524,0.9514210721,98.98,22689733.49,11286951.94,11402781.55,-292697.562
22,26300,13185,13115,2.02,1.01132593,1.005956737,100.53,24177132.76,12120741.27,12056391.49,-311885.0126
23,28985,14385,14600,2.22,1.103369246,1.11986034,98.53,26645406.58,13223880.41,13421526.17,-343725.7449
24,27747,13970,13777,2.13,1.071537599,1.056733966,101.4,25507334.7,12842378.12,12664956.58,-329044.6177
25,30281,15175,15106,2.32,1.163964428,1.158671938,100.46,27836796.85,13950113.67,13886683.17,-359094.6793
26,24332,12277,12055,1.87,0.9416798212,0.9246518078,101.84,22367984.57,11286032.66,11081951.92,-288547.001
27,26202,13268,12934,2.01,1.017692259,0.9920735365,102.58,24087043.06,12197041.73,11890001.33,-310722.8555
28,25830,13129,12701,1.98,1.007030575,0.9742017927,103.37,23745069.93,12069261.44,11675808.49,-306311.4021
29,26039,13162,12877,2,1.009561766,0.987701479,102.21,23937200,12099597.77,11837602.23,-308789.88
30,30560,15496,15064,2.34,1.188586015,1.155450422,102.87,28093276.7,14245203.39,13848073.3,-362403.2694
31,25132,12747,12385,1.93,0.9777301198,0.9499637196,102.92,23103410.67,11718095.49,11385315.18,-298033.9976
