Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,12552,6982,5570,1.07,0.59,0.47,125.36,14215831.95,7907499.892,6308332.053,-459171.3718
1,11122,6089,5033,0.94,0.52,0.43,120.98,12596278.11,6896128.164,5700149.951,-406859.7831
2,12035,6616,5419,1.02,0.56,0.46,122.08,13630300.94,7492984.716,6137316.229,-440258.7205
3,12148,6792,5355,1.03,0.58,0.45,126.83,13758279.67,7692314.418,6064832.701,-444392.4335
4,12553,6873,5680,1.07,0.58,0.48,121,14216964.5,7784051.383,6432913.117,-459207.9534
5,11647,6394,5253,0.99,0.54,0.45,121.72,13190869.56,7241557.478,5949312.078,-426065.0867
6,12515,6843,5672,1.06,0.58,0.48,120.66,14173927.41,7750074.729,6423852.676,-457817.8552
7,13205,7256,5949,1.12,0.62,0.5,121.98,14955390.44,8217819.996,6737570.446,-483059.1113
8,13709,7491,6218,1.16,0.64,0.53,120.47,15526198.23,8483970.451,7042227.775,-501496.2027
9,13326,7330,5996,1.13,0.62,0.51,122.23,15092429.61,8301629.076,6790800.537,-487485.4765
10,14997,8189,6808,1.27,0.69,0.58,120.28,16984929.23,9274493.929,7710435.3,-548613.2141
11,14615,7888,6727,1.24,0.67,0.57,117.25,16552293.17,8933594.836,7618698.335,-534639.0694
12,15899,8575,7324,1.35,0.73,0.62,117.09,18006493.95,9711660.208,8294833.745,-581609.7547
13,16995,9018,7976,1.44,0.77,0.68,113.06,19247774.37,10213382.13,9033259.687,-621703.1122
14,16771,8890,7882,1.42,0.75,0.67,112.79,18994082.02,10068415.07,8926799.505,-613508.8493
15,17282,9315,7966,1.47,0.79,0.68,116.93,19572817.69,10549751,9021934.136,-632202.0115
16,17636,9644,7992,1.5,0.82,0.68,120.66,19973742.21,10922361.64,9051380.569,-645151.8733
17,17473,9234,8239,1.48,0.78,0.7,112.07,19789135.72,10458014.04,9331121.686,-639189.0838
18,21369,11331,10038,1.81,0.96,0.85,112.88,24201570.49,12832982.14,11368588.36,-781710.727
19,19007,9914,9093,1.61,0.84,0.77,109.03,21526475.29,11228151.52,10298323.76,-695305.1517
20,17472,8924,8548,1.48,0.76,0.73,104.4,19788003.17,10106921.95,9681081.22,-639152.5023
21,18013,8885,9128,1.53,0.75,0.77,97.34,20400715.49,10062752.3,10337963.19,-658943.1103
22,16228,7910,8317,1.38,0.67,0.71,95.1,18379104.59,8958511.049,9419460.985,-593645.0782
23,14519,7086,7433,1.23,0.6,0.63,95.34,16443567.88,8025285.625,8418282.254,-531127.2425
24,14654,7197,7457,1.24,0.61,0.63,96.52,16596462.82,8150999.244,8445463.577,-536065.7491
25,14806,7243,7563,1.26,0.61,0.64,95.77,16768611.2,8203096.78,8565514.42,-541626.1418
26,16837,8261,8576,1.43,0.7,0.73,96.33,19068830.66,9356037.898,9712792.763,-615923.2304
27,14689,7235,7454,1.25,0.61,0.63,97.07,16636102.25,8194036.339,8442065.911,-537346.1027
28,14861,7243,7618,1.26,0.61,0.65,95.07,16830901.73,8203096.78,8627804.952,-543638.1259
29,15225,7516,7709,1.29,0.64,0.65,97.49,17243151.8,8512284.329,8730867.469,-556953.8031
30,15612,7589,8024,1.32,0.64,0.68,94.58,17681450.63,8594960.853,9087622.333,-571110.8554
31,14473,7280,7193,1.23,0.62,0.61,101.21,16391470.34,8245001.319,8146469.023,-529444.4921
32,16600,8189,8412,1.41,0.69,0.71,97.35,18800415.1,9274493.929,9527053.722,-607253.4076
33,16824,8366,8458,1.43,0.71,0.72,98.91,19054107.44,9474956.187,9579151.258,-615447.6705
34,18518,9204,9314,1.57,0.78,0.79,98.82,20972655.83,10424037.38,10548618.45,-677416.7833
35,20153,9924,10228,1.71,0.84,0.87,97.02,22824383.46,11239477.07,11583773.83,-737227.5858
36,21032,10473,10559,1.78,0.89,0.9,99.19,23819899.42,11861249.84,11958649.58,-769382.7511
37,21536,10888,10648,1.83,0.92,0.9,102.26,24390707.2,12331260.22,12059446.98,-787819.8426
38,24152,11784,12368,2.05,1,1.05,95.28,27353471.41,13346029.61,14007441.8,-883517.1266
39,22424,10958,11466,1.9,0.93,0.97,95.57,25396416.15,12410539.07,12985877.08,-820304.2417
40,24763,12387,12376,2.1,1.05,1.05,100.09,28045462.59,14028960.35,14016502.24,-905868.4417
41,20280,10092,10189,1.72,0.86,0.86,99.05,22968217.96,11429746.33,11539604.18,-741873.4402
42,23008,11355,11653,1.95,0.96,0.99,97.44,26057828.35,12860163.46,13197664.89,-841667.8556
43,23226,11646,11580,1.97,0.99,0.98,100.57,26304725.36,13189737,13114988.36,-849642.6292
44,22431,11157,11274,1.9,0.95,0.96,98.96,25404344.04,12635917.54,12768426.49,-820560.3124
45,26324,13091,13233,2.23,1.11,1.12,98.93,29813381.14,14826279.16,14987101.99,-962972.211
46,19659,9681,9977,1.67,0.82,0.85,97.03,22264901.23,10964266.18,11299502.5,-719156.3097
47,14316,7138,7178,1.21,0.61,0.61,99.45,16213659.19,8084178.492,8129480.697,-523701.1918
48,11240,5587,5653,0.95,0.47,0.48,98.82,12729919.62,6327585.491,6402334.129,-411176.4037
49,13162,6563,6599,1.12,0.56,0.56,99.46,14906690.57,7432959.294,7473731.278,-481486.1055
50,17363,8727,8636,1.47,0.74,0.73,101.05,19664554.66,9883808.587,9780746.071,-635165.1155
51,19290,9770,9520,1.64,0.83,0.81,102.62,21846988.39,11065063.58,10781924.8,-705657.7249
52,17747,8905,8842,1.51,0.76,0.75,100.71,20099455.83,10085403.4,10014052.43,-649212.4232
53,18613,9337,9276,1.58,0.79,0.79,100.65,21080248.57,10574667.21,10505581.35,-680892.0287
54,18944,9551,9393,1.61,0.81,0.8,101.69,21455124.31,10817034.01,10638090.3,-693000.5153
55,17465,8793,8671,1.48,0.75,0.74,101.41,19780075.28,9958557.226,9820385.5,-638896.4316
56,17338,8849,8489,1.47,0.75,0.72,104.25,19636240.78,10021980.31,9614260.467,-634250.5772
57,14565,7260,7305,1.24,0.62,0.62,99.39,16495665.41,8222350.217,8273315.198,-532809.9929
58,14485,7344,7141,1.23,0.62,0.61,102.83,16405061,8317484.848,8087576.157,-529883.4704
59,13702,7048,6654,1.16,0.6,0.56,105.92,15518270.34,7982248.53,7536021.81,-501240.132
60,12296,6297,5999,1.04,0.53,0.51,104.97,13925897.83,7131699.63,6794198.203,-449806.5
61,11200,5734,5465,0.95,0.49,0.46,104.92,12684617.41,6494071.094,6189413.765,-409713.1425
62,10409,5239,5169,0.88,0.44,0.44,101.35,11788766.31,5933456.307,5854177.448,-380777.1518
63,9758,4859,4899,0.83,0.41,0.42,99.18,11051472.92,5503085.359,5548387.564,-356962.5754
64,9044,4648,4396,0.77,0.39,0.37,105.75,10242828.56,5264116.227,4978712.335,-330843.3626
65,8461,4325,4135,0.72,0.37,0.35,104.59,9582548.924,4898300.921,4683115.447,-309516.3302
66,8146,4052,4094,0.69,0.34,0.35,98.98,9225794.059,4589113.372,4636680.687,-297993.1481
67,8249,4199,4050,0.7,0.36,0.34,103.67,9342447.237,4755598.975,4586848.262,-301761.0457
68,7795,3975,3820,0.66,0.34,0.32,104.06,8828267.209,4501906.627,4326360.582,-285153.0309
69,6533,3272,3261,0.55,0.28,0.28,100.32,7398982.64,3705720.373,3693262.267,-238987.1393
70,7879,3981,3898,0.67,0.34,0.33,102.14,8923401.84,4508701.958,4414699.882,-288225.8794
71,6831,3359,3472,0.58,0.29,0.29,96.75,7736484.068,3804252.669,3932231.399,-249888.4354
72,6765,3404,3361,0.57,0.29,0.29,101.29,7661735.429,3855217.65,3806517.779,-247474.0544
73,6195,3074,3121,0.53,0.26,0.26,98.5,7016179.007,3481474.458,3534704.549,-226622.5819
74,5631,2738,2894,0.48,0.23,0.25,94.6,6377417.916,3100935.936,3277614.536,-205990.5987
75,5608,2702,2906,0.48,0.23,0.25,92.98,6351369.148,3060163.951,3291205.197,-205149.2235
76,4765,2274,2492,0.4,0.19,0.21,91.25,5396625.177,2575430.357,2822327.375,-174310.9932
77,4179,2066,2113,0.35,0.18,0.18,97.77,4732947.873,2339858.891,2393088.982,-152874.2163
78,4290,2051,2239,0.36,0.17,0.19,91.56,4858661.492,2322870.564,2535790.928,-156934.7662
79,3148,1453,1695,0.27,0.12,0.14,85.72,3565283.538,1645602.599,1919680.939,-115158.6583
80,3277,1567,1710,0.28,0.13,0.15,91.68,3711383.149,1774713.883,1936669.266,-119877.6757
81,2584,1102,1482,0.22,0.09,0.13,74.37,2926522.446,1248075.749,1678446.697,-94526.67502
82,2153,969,1184,0.18,0.08,0.1,81.88,2438391.187,1097445.917,1340945.27,-78760.03534
83,1998,843,1155,0.17,0.07,0.1,72.99,2262845.142,954743.9715,1308101.171,-73089.8981
84,1675,716,960,0.14,0.06,0.08,74.54,1897029.837,810909.4704,1087252.921,-61274.06372
85,1440,607,833,0.12,0.05,0.07,72.91,1630879.382,687460.9617,943418.4202,-52677.40403
86,1174,466,708,0.1,0.04,0.06,65.89,1329619.718,527770.6889,801849.0294,-42946.7169
87,906,325,581,0.08,0.03,0.05,55.89,1026094.944,368080.416,658014.5284,-33142.8667
88,823,337,486,0.07,0.03,0.04,69.26,932092.8689,381671.0776,550421.7914,-30106.59967
89,433,152,281,0.04,0.01,0.02,54.28,490396.3697,172148.3792,318247.9905,-15839.80274
90+,1474,452,1020,0.12,0.04,0.09,44.31,1669386.256,511914.9171,1155206.229,-53921.17607
