Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,12176,6545,5631,1.05,0.57,0.49,116.22,14616007.23,7856584.046,6759423.187,-346399.3714
1,12147,6482,5664,1.05,0.56,0.49,114.43,14581195.78,7780959.173,6799036.216,-345574.3401
2,14152,7604,6547,1.22,0.66,0.57,116.15,16987987.38,9127802.152,7858984.835,-402615.301
3,14435,7703,6732,1.25,0.67,0.58,114.42,17327699.11,9246641.238,8081057.876,-410666.469
4,15537,8369,7168,1.34,0.72,0.62,116.75,18650534.2,10046104.18,8604430.014,-442017.6605
5,12250,6661,5589,1.06,0.58,0.48,119.18,14704836.45,7995829.844,6709006.605,-348504.6238
6,12901,6916,5986,1.11,0.6,0.52,115.53,15486293.47,8301930.521,7185563.346,-367025.1553
7,13284,7254,6029,1.15,0.63,0.52,120.31,15946044.68,8707663.968,7237180.323,-377921.259
8,12965,7067,5899,1.12,0.61,0.51,119.8,15563118.74,8483190.138,7081128.997,-368845.9141
9,12431,6769,5661,1.07,0.58,0.49,119.57,14922107.91,8125472.484,6795435.032,-353653.9575
10,12934,7000,5934,1.12,0.6,0.51,117.96,15525906.5,8402763.685,7123142.815,-367963.9841
11,12543,6853,5690,1.08,0.59,0.49,120.44,15056552.13,8226305.648,6830246.481,-356840.2855
12,12418,6731,5687,1.07,0.58,0.49,118.37,14906502.78,8079857.481,6826645.297,-353284.1158
13,11089,5972,5118,0.96,0.52,0.44,116.69,13311178.07,7168757.818,6143620.649,-315474.9203
14,11436,6217,5219,0.99,0.54,0.45,119.13,13727715.07,7462854.547,6264860.525,-325346.8472
15,12592,6871,5721,1.09,0.59,0.49,120.1,15115371.47,8247912.754,6867458.72,-358234.304
16,12688,6717,5971,1.1,0.58,0.52,112.5,15230609.38,8063051.953,7167557.423,-360965.4422
17,11599,6298,5301,1,0.54,0.46,118.79,13923379.43,7560086.527,6363292.899,-329984.0924
18,12409,6812,5597,1.07,0.59,0.48,121.72,14895699.22,8177089.461,6718609.764,-353028.0716
19,12275,6501,5773,1.06,0.56,0.5,112.62,14734846.32,7803766.674,6929879.251,-349215.8578
20,14469,7432,7037,1.25,0.64,0.61,105.6,17368512.54,8921334.244,8447178.293,-411633.7471
21,15600,8103,7497,1.35,0.7,0.65,108.07,18726159.07,9726799.163,8999359.907,-443809.97
22,15184,8107,7077,1.31,0.7,0.61,114.55,18226794.83,9731600.742,8495194.086,-431975.0374
23,16323,8503,7821,1.41,0.73,0.68,108.72,19594044.52,10206957.09,9388287.826,-464378.8551
24,17526,9222,8304,1.51,0.8,0.72,111.06,21038119.48,11070040.96,9968078.52,-498603.4316
25,17425,8920,8506,1.5,0.77,0.73,104.87,20916879.6,10707521.72,10210558.27,-495730.0466
26,22792,11606,11186,1.97,1,0.97,103.76,27359398.56,13931782.19,13427616.37,-648417.7459
27,22285,11333,10952,1.92,0.98,0.95,103.48,26750798.39,13604074.41,13146723.98,-633993.9218
28,21155,10706,10449,1.83,0.92,0.9,102.46,25394352.25,12851426.86,12542925.39,-601846.1484
29,23005,11659,11346,1.99,1.01,0.98,102.76,27615082.65,13995403.12,13619679.54,-654477.4589
30,19238,9557,9681,1.66,0.83,0.84,98.72,23093195.4,11472173.22,11621022.18,-547308.7309
31,16747,8348,8399,1.45,0.72,0.73,99.39,20103011.92,10020895.89,10082116.03,-476441.3825
32,16360,8273,8087,1.41,0.71,0.7,102.3,19638459.13,9930866.281,9707592.846,-465431.4813
33,16261,8288,7974,1.4,0.72,0.69,103.94,19519620.04,9948872.203,9571948.232,-462614.995
34,18967,9604,9363,1.64,0.83,0.81,102.58,22767888.4,11528591.78,11239296.63,-539598.9551
35,16305,8330,7975,1.41,0.72,0.69,104.45,19572437.41,9999288.785,9573148.627,-463866.7667
36,15507,7928,7579,1.34,0.68,0.65,104.6,18614522.35,9516730.071,9097792.281,-441164.1798
37,16796,8541,8255,1.45,0.74,0.71,103.46,20161831.27,10252572.09,9909259.175,-477835.401
38,16615,8399,8216,1.43,0.73,0.71,102.24,19944559.8,10082116.03,9862443.777,-472686.0674
39,15262,7794,7467,1.32,0.67,0.64,104.38,18320425.62,9355877.166,8963348.063,-434194.0873
40,17138,8816,8322,1.48,0.76,0.72,105.95,20572366.29,10582680.66,9989685.627,-487565.0811
41,17921,9247,8674,1.55,0.8,0.75,106.6,21512275.43,11100050.83,10412224.6,-509840.9277
42,18917,9584,9333,1.63,0.83,0.81,102.68,22707868.66,11504583.88,11203284.78,-538176.4873
43,20063,10206,9857,1.73,0.88,0.85,103.54,24083521.12,12251229.45,11832291.66,-570779.4505
44,20691,10489,10202,1.79,0.91,0.88,102.82,24837369.06,12590941.18,12246427.87,-588645.6467
45,20820,10709,10111,1.8,0.92,0.87,105.92,24992219.99,12855028.04,12137191.95,-592315.6138
46,22281,11348,10933,1.92,0.98,0.94,103.8,26745996.81,13622080.33,13123916.48,-633880.1244
47,20757,10549,10208,1.79,0.91,0.88,103.35,24916595.12,12662964.87,12253630.24,-590523.3043
48,22619,11434,11185,1.95,0.99,0.97,102.22,27151730.26,13725314.28,13426415.97,-643496.0071
49,18145,9153,8992,1.57,0.79,0.78,101.79,21781163.87,10987213.72,10793950.15,-516213.5836
50,19623,9951,9672,1.69,0.86,0.84,102.88,23555347.4,11945128.78,11610218.62,-558261.7334
51,19909,9971,9938,1.72,0.86,0.86,100.33,23898660.32,11969136.67,11929523.64,-566398.2495
52,19395,9751,9643,1.67,0.84,0.83,101.12,23281657.38,11705049.81,11575407.17,-551775.28
53,22319,11502,10817,1.93,0.99,0.93,106.33,26791611.81,13806941.13,12984670.68,-634961.2
54,16362,8316,8045,1.41,0.72,0.69,103.37,19640859.92,9982483.258,9657176.264,-465488.38
55,9106,4490,4616,0.79,0.39,0.4,97.28,10930795.16,5389772.707,5541022.453,-259059.8453
56,11346,5777,5569,0.98,0.5,0.48,103.73,13619679.54,6934680.83,6684998.709,-322786.4051
57,10565,5420,5144,0.91,0.47,0.44,105.37,12682171.19,6506139.882,6174830.914,-300567.4572
58,13637,6958,6680,1.18,0.6,0.58,104.16,16369784.05,8352347.103,8018637.345,-387963.8821
59,14984,7619,7365,1.29,0.66,0.64,103.44,17986715.87,9145808.074,8840907.792,-426285.166
60,13587,6708,6879,1.17,0.58,0.59,97.52,16309764.31,8052248.4,8257515.913,-386541.4142
61,14348,7218,7130,1.24,0.62,0.62,101.22,17223264.77,8664449.754,8558815.011,-408191.3749
62,14177,7038,7139,1.22,0.61,0.62,98.58,17017997.25,8448378.688,8569618.564,-403326.5349
63,12782,6374,6408,1.1,0.55,0.55,99.48,15343446.49,7651316.533,7692129.956,-363639.6818
64,12802,6472,6330,1.11,0.56,0.55,102.23,15367454.39,7768955.224,7598499.161,-364208.6689
