Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration,net_migration(90+)
39,17216,8859,8357,1.531480482,0.7880684007,0.7434120809,106.0069403,17738066.38,9127644.637,8610421.744,-191571.1169,-191571.1169
40,14645,7399,7246,1.302772517,0.6581914546,0.6445810623,102.1115098,15089102.12,7623370.885,7465731.238,-162962.3029,-162962.3029
41,13708,6955,6753,1.219419984,0.6186946299,0.6007253538,102.9912631,14123688.08,7165906.812,6957781.266,-152535.8312,-152535.8312
42,14331,7434,6897,1.274840078,0.6613049431,0.6135351348,107.7859939,14765580.23,7659432.242,7106147.992,-159468.2665,-159468.2665
43,12210,6344,5866,1.086162679,0.5643420176,0.5218206613,108.1486533,12580262,6536378.55,6043883.445,-135866.8296,-135866.8296
44,11964,6065,5899,1.064279303,0.5395230669,0.5247562361,102.8140363,12326802.17,6248918.018,6077884.153,-133129.4635,-133129.4635
45,11116,5690,5426,0.9888439262,0.5061642623,0.4826796638,104.8654626,11453087.01,5862546.335,5590540.671,-123693.3397,-123693.3397
46,10109,5109,5000,0.8992644161,0.4544803543,0.4447840618,102.18,10415550.25,5263927.808,5151622.439,-112487.9427,-112487.9427
47,9946,5245,4701,0.8847644557,0.4665784808,0.4181859749,111.572006,10247607.36,5404051.938,4843555.417,-110674.1594,-110674.1594
48,9175,4760,4415,0.8161787534,0.4234344268,0.3927443266,107.8142695,9453227.175,4904344.562,4548882.613,-102094.8535,-102094.8535
49,9271,4740,4531,0.8247186074,0.4216552906,0.4030633168,104.6126683,9552138.326,4883738.072,4668400.254,-103163.0939,-103163.0939
50,9681,5016,4665,0.8611909004,0.4462073708,0.4149835296,107.5241158,9974571.366,5168107.631,4806463.735,-107725.3708,-107725.3708
51,8963,4675,4288,0.7973199092,0.4158730978,0.3814468114,109.0251866,9234798.384,4816766.98,4418031.404,-99735.82255,-99735.82255
