Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migation
60,14354,7192,7161,1.25,0.63,0.63,100.43,17419902.91,8728155.34,8690533.981,-419819.6602
61,13371,6721,6650,1.17,0.59,0.58,101.08,16226941.75,8156553.398,8070388.35,-391069.2961
62,13964,6986,6978,1.22,0.61,0.61,100.12,16946601.94,8478155.34,8468446.602,-408413.1068
63,13878,6884,6994,1.21,0.6,0.61,98.43,16842233.01,8354368.932,8487864.078,-405897.8155
64,12477,6243,6234,1.09,0.55,0.54,100.14,15141990.29,7576456.311,7565533.981,-364921.966
65,12598,6189,6409,1.1,0.54,0.56,96.57,15288834.95,7510922.33,7777912.621,-368460.9223
66,10591,5087,5504,0.92,0.44,0.48,92.43,12853155.34,6173543.689,6679611.65,-309761.0437
67,10110,4888,5222,0.88,0.43,0.46,93.62,12269417.48,5932038.835,6337378.641,-295692.9612
68,9883,5012,4871,0.86,0.44,0.43,102.9,11993932.04,6082524.272,5911407.767,-289053.7621
69,8370,4104,4265,0.73,0.36,0.37,96.22,10157766.99,4980582.524,5175970.874,-244802.1845
70,7907,3821,4086,0.69,0.33,0.36,93.51,9595873.786,4637135.922,4958737.864,-231260.5583
71,7109,3510,3599,0.62,0.31,0.31,97.51,8627427.184,4259708.738,4367718.447,-207920.9951
72,6211,2923,3289,0.54,0.26,0.29,88.87,7537621.359,3547330.097,3991504.854,-181656.6748
73,5987,2976,3011,0.52,0.26,0.26,98.86,7265776.699,3611650.485,3654126.214,-175105.2184
74,5376,2561,2815,0.47,0.22,0.25,90.98,6524271.845,3108009.709,3416262.136,-157234.9515
75,5128,2566,2562,0.45,0.22,0.22,100.16,6223300.971,3114077.67,3109223.301,-149981.5534
76,4974,2414,2561,0.43,0.21,0.22,94.27,6036407.767,2929611.65,3108009.709,-145477.4272
77,4538,2077,2461,0.4,0.18,0.21,84.41,5507281.553,2520631.068,2986650.485,-132725.4854
78,3830,1792,2038,0.33,0.16,0.18,87.89,4648058.252,2174757.282,2473300.971,-112018.2039
79,4083,1925,2157,0.36,0.17,0.19,89.24,4955097.087,2336165.049,2617718.447,-119417.8398
80,3561,1660,1902,0.31,0.14,0.17,87.28,4321601.942,2014563.107,2308252.427,-104150.6068
81,3339,1561,1778,0.29,0.14,0.16,87.79,4052184.466,1894417.476,2157766.99,-97657.64563
82,2817,1261,1556,0.25,0.11,0.14,81.06,3418689.32,1530339.806,1888349.515,-82390.41262
83,2620,1112,1508,0.23,0.1,0.13,73.71,3179611.65,1349514.563,1830097.087,-76628.64078
84,2371,1067,1304,0.21,0.09,0.11,81.81,2877427.184,1294902.913,1582524.272,-69345.99515
85,1815,781,1034,0.16,0.07,0.09,75.48,2202669.903,947815.534,1254854.369,-53084.34466
86,1485,615,870,0.13,0.05,0.08,70.73,1802184.466,746359.2233,1055825.243,-43432.64563
87,1451,626,826,0.13,0.05,0.07,75.78,1760922.33,759708.7379,1002427.184,-42438.22816
88,993,411,582,0.09,0.04,0.05,70.6,1205097.087,498786.4078,706310.6796,-29042.83981
89,862,325,537,0.08,0.03,0.05,60.58,1046116.505,394417.4757,651699.0291,-25211.40777
90+,2419,791,1628,0.21,0.06,0.15,48.58722359,2935679.612,959951.4563,1975728.155,-70749.87865
,,,,,,,,1389864078,,,
