Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,182392,99063,83329,1.07,0.58,0.49,118.88,14114796.83,7666203.116,6448593.718,-436147.2222
1,178735,98982,79753,1.05,0.58,0.47,124.11,13831792.03,7659934.757,6171857.274,-427402.3738
2,172941,96064,76877,1.02,0.57,0.45,124.96,13383410.89,7434119.057,5949291.834,-413547.3965
3,179380,99099,80281,1.06,0.58,0.47,123.44,13881706.74,7668989.054,6212717.688,-428944.7383
4,193654,106500,87154,1.14,0.63,0.51,122.2,14986330.9,8241731.341,6744599.562,-463077.6249
5,200309,109787,90522,1.18,0.65,0.53,121.28,15501342.38,8496102.899,7005239.479,-478991.4795
6,195209,106483,88726,1.15,0.63,0.52,120.01,15106667.92,8240415.76,6866252.16,-466796.0387
7,217365,118646,98718,1.28,0.7,0.58,120.19,16821257.59,9181675.65,7639504.55,-519776.8594
8,220075,119080,100995,1.3,0.7,0.59,117.91,17030976.76,9215261.673,7815715.088,-526257.1819
9,227706,123007,104699,1.34,0.72,0.62,117.49,17621518.09,9519161.006,8102357.087,-544504.9091
10,255265,137426,117839,1.5,0.81,0.69,116.62,19754230.52,10635006.3,9119224.221,-610405.7232
11,243063,129728,113335,1.43,0.76,0.67,114.46,18809952.54,10039280.03,8770672.503,-581227.5333
12,270332,143889,126444,1.59,0.85,0.74,113.8,20920222.69,11135159.45,9785140.636,-646434.8813
13,279051,148257,130793,1.64,0.87,0.77,113.35,21594961.24,11473186.51,10121697.35,-667284.3025
14,305552,162193,143359,1.8,0.95,0.84,113.14,23645798.07,12551653.82,11094144.26,-730655.1605
15,346126,182334,163792,2.04,1.07,0.96,111.32,26785704.25,14110308.38,12675395.87,-827678.2612
16,315197,164802,150396,1.86,0.97,0.89,109.58,24392197.12,12753556.89,11638717.62,-753718.8911
17,278583,144374,134209,1.64,0.85,0.79,107.57,21558744.06,11172692.21,10386051.85,-666165.1914
18,279299,143362,135937,1.64,0.84,0.8,105.46,21614153.26,11094376.42,10519776.84,-667877.3357
19,224278,114212,110066,1.32,0.67,0.65,103.77,17356234.95,8838541.033,8517693.914,-536307.6598
20,196962,97506,99456,1.16,0.57,0.59,98.04,15242327.59,7545711.326,7696616.266,-470987.9226
21,191823,91680,100143,1.13,0.54,0.59,91.55,14844635.03,7094853.797,7749781.237,-458699.2225
22,198985,95182,103803,1.17,0.56,0.61,91.69,15398881.79,7365863.592,8033018.201,-475825.4474
23,235835,112784,123051,1.39,0.66,0.72,91.66,18250598.22,8728032.184,9522566.04,-563943.4851
24,213119,102776,110344,1.25,0.61,0.65,93.14,16492671.75,7953541.599,8539207.541,-509623.5572
25,210881,100577,110304,1.24,0.59,0.65,91.18,16319479.31,7783367.259,8536112.055,-504271.9108
26,223647,108750,114897,1.32,0.64,0.68,94.65,17307403.66,8415852.426,8891551.229,-534798.773
27,222032,108001,114031,1.31,0.64,0.67,94.71,17182423.41,8357889.452,8824533.959,-530936.8834
28,214130,104788,109343,1.26,0.62,0.64,95.83,16570910.16,8109244.543,8461743.005,-512041.124
29,239600,117121,122480,1.41,0.69,0.72,95.62,18541960.84,9063660.248,9478377.978,-572946.5899
30,251922,124107,127815,1.48,0.73,0.75,97.1,19495525.29,9604286.869,9891238.417,-602411.7313
31,277806,135601,142205,1.64,0.8,0.84,95.36,21498614.24,10493774.76,11004839.49,-664307.1802
32,292145,143566,148579,1.72,0.85,0.87,96.63,22608268.57,11110163.4,11498105.17,-698595.4988
33,304961,150260,154701,1.8,0.88,0.91,97.13,23600062.27,11628192.97,11971869.3,-729241.9241
34,319074,157487,161587,1.88,0.93,0.95,97.46,24692227.1,12187469.89,12504757.2,-762989.8174
35,351372,173107,178265,2.07,1.02,1.05,97.11,27191677.23,13396257.16,13795420.07,-840222.8264
36,325230,159848,165382,1.91,0.94,0.97,96.65,25168622.39,12370180.95,12798441.43,-777710.4317
37,358646,176581,182065,2.11,1.04,1.07,96.99,27754591.35,13665100.11,14089491.24,-857616.8727
38,289717,142560,147157,1.71,0.84,0.87,96.88,22420372.57,11032311.93,11388060.65,-692789.5125
39,326522,161038,165485,1.92,0.95,0.97,97.31,25268606.58,12462271.66,12806412.31,-780799.9434
40,334359,166402,167957,1.97,0.98,0.99,99.07,25875089.67,12877376.33,12997713.34,-799540.2707
41,320180,158238,161942,1.88,0.93,0.95,97.71,24777817.29,12245587.64,12532229.64,-765634.5541
42,379144,189553,189591,2.23,1.12,1.12,99.98,29340873.12,14668966.21,14671906.92,-906632.9795
43,283846,141056,142790,1.67,0.83,0.84,98.79,21966032.62,10915921.65,11050110.97,-678750.408
44,158010,77391,80619,0.93,0.46,0.47,96,12227943.37,5989068.829,6238874.545,-377843.4502
45,201422,100540,100882,1.19,0.59,0.59,99.66,15587474.27,7780503.935,7806970.34,-481652.9551
