Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,12080,6691,5389,1.04,0.57,0.46,124.17,13837342.5,7664375.716,6172966.781,-419271.4777
1,11358,6323,5035,0.97,0.54,0.43,125.59,13010309.28,7242840.779,5767468.499,-394212.3711
2,11981,6543,5438,1.03,0.56,0.47,120.31,13723940.44,7494845.361,6229095.074,-415835.3952
3,12372,6838,5535,1.06,0.59,0.48,123.55,14171821.31,7832760.596,6340206.186,-429406.1856
4,12367,6745,5622,1.06,0.58,0.48,119.98,14166093.93,7726231.386,6439862.543,-429232.646
5,12960,7219,5741,1.11,0.62,0.49,125.73,14845360.82,8269186.712,6576174.112,-449814.433
6,11718,6502,5216,1.01,0.56,0.45,124.65,13422680.41,7447880.871,5974799.542,-406707.2165
7,12313,6723,5589,1.06,0.58,0.48,120.29,14104238.26,7701030.928,6402061.856,-427358.4192
8,13038,7191,5847,1.12,0.62,0.5,123,14934707.9,8237113.402,6697594.502,-452521.6495
9,12972,7070,5903,1.11,0.61,0.51,119.77,14859106.53,8098510.882,6761741.123,-450230.9278
10,13258,7361,5898,1.14,0.63,0.51,124.81,15186712.49,8431844.215,6756013.746,-460157.3883
11,14290,7725,6565,1.23,0.66,0.56,117.66,16368843.07,8848797.251,7520045.819,-495975.945
12,14437,7839,6598,1.24,0.67,0.57,118.8,16537227.95,8979381.443,7557846.506,-501078.0069
13,15140,8202,6938,1.3,0.7,0.6,118.21,17342497.14,9395189.003,7947308.133,-525477.6632
14,16233,8623,7610,1.39,0.74,0.65,113.31,18594501.72,9877434.135,8717067.583,-563413.4021
15,15414,8183,7230,1.32,0.7,0.62,113.18,17656357.39,9373424.971,8281786.942,-534987.6289
16,16139,8608,7531,1.39,0.74,0.65,114.3,18486827.03,9860252.005,8626575.029,-560150.8591
17,16102,8612,7490,1.38,0.74,0.64,114.98,18444444.44,9864833.906,8579610.538,-558866.6667
18,16150,8502,7648,1.39,0.73,0.66,111.16,18499427.26,9738831.615,8760595.647,-560532.646
19,19711,10265,9446,1.69,0.88,0.81,108.67,22578465.06,11758304.7,10820160.37,-684127.4914
20,19196,9780,9416,1.65,0.84,0.81,103.87,21988545.25,11202749.14,10785796.11,-666252.921
21,17641,9018,8623,1.51,0.77,0.74,104.58,20207331.04,10329896.91,9877434.135,-612282.1306
22,18814,9174,9640,1.61,0.79,0.83,95.17,21550973.65,10508591.07,11042382.59,-652994.5017
23,16894,8507,8386,1.45,0.73,0.72,101.44,19351660.94,9744558.992,9605956.472,-586355.3265
24,15091,7521,7570,1.3,0.65,0.65,99.35,17286368.84,8615120.275,8671248.568,-523776.9759
25,14948,7524,7424,1.28,0.65,0.64,101.34,17122565.86,8618556.701,8504009.164,-518813.7457
