Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,13303,7289,6015,1.06,0.58,0.48,121.18,13881539.01,7605993.975,6276588.525,-423386.9398
1,10583,5751,4832,0.84,0.46,0.39,119.03,11043247.94,6001107.333,5042140.607,-336819.0622
2,11869,6712,5157,0.95,0.54,0.41,130.16,12385175.26,7003900.612,5381274.651,-377747.8455
3,12647,6934,5714,1.01,0.55,0.46,121.35,13197009.99,7235555.251,5962498.226,-402508.8046
4,13471,7404,6067,1.08,0.59,0.48,122.03,14056845.22,7725995.252,6330849.972,-428733.7793
5,13375,7389,5985,1.07,0.59,0.48,123.46,13956670.24,7710342.911,6245283.844,-425678.4425
6,14901,8190,6711,1.19,0.65,0.54,122.05,15549035.01,8546177.892,7002857.122,-474245.5679
7,15108,8164,6944,1.21,0.65,0.55,117.57,15765037.31,8519047.168,7245990.144,-480833.638
8,15890,8515,7375,1.27,0.68,0.59,115.46,16581046,8885311.935,7695734.06,-505721.9029
9,16947,9174,7773,1.35,0.73,0.62,118.02,17684014.25,9572971.426,8111042.827,-539362.4347
10,17603,9448,8154,1.4,0.75,0.65,115.87,18368543.28,9858887.512,8508612.275,-560240.5699
11,18640,9958,8682,1.49,0.79,0.69,114.7,19450641.75,10391067.09,9059574.659,-593244.5733
12,19772,10481,9291,1.58,0.84,0.74,112.8,20631871.71,10936812.02,9695059.682,-629272.0871
13,21088,11077,10011,1.68,0.88,0.8,110.65,22005103.71,11558731.69,10446372.02,-671155.6631
14,26669,13957,12712,2.13,1.11,1.01,109.79,27828817.85,14563981.05,13264836.8,-848778.9444
15,25610,13268,12342,2.04,1.06,0.98,107.5,26723762.61,13845016.88,12878745.73,-815074.7597
16,23571,12293,11278,1.88,0.98,0.9,109,24596087.8,12827614.75,11768473.05,-750180.6779
17,24201,12347,11854,1.93,0.99,0.95,104.16,25253486.1,12883963.18,12369522.92,-770231.3261
18,20109,10481,9628,1.6,0.84,0.77,108.87,20983527.62,10936812.02,10046715.6,-639997.5925
19,15767,8193,7574,1.26,0.65,0.6,108.18,16452696.8,8549308.36,7903388.444,-501807.2525
