Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,23220851,12254905,10965946,2.05,1.08,0.97,111.75,23220851,12254905,10965946,-227564.3398
1,23331877,12304824,11027053,2.06,1.09,0.98,111.59,23331877,12304824,11027053,-228652.3946
2,24180595,12672092,11508503,2.14,1.12,1.02,110.11,24180595,12672092,11508503,-236969.831
3,24294365,12676790,11617575,2.15,1.12,1.03,109.12,24294365,12676790,11617575,-238084.777
4,21410731,11140519,10270212,1.89,0.99,0.91,108.47,21410731,11140519,10270212,-209825.1638
5,19982290,10405433,9576857,1.77,0.92,0.85,108.65,19982290,10405433,9576857,-195826.442
6,19056078,9922498,9133580,1.69,0.88,0.81,108.64,19056078,9922498,9133580,-186749.5644
7,20196487,10518627,9677860,1.79,0.93,0.86,108.69,20196487,10518627,9677860,-197925.5726
8,22015342,11419500,10595842,1.95,1.01,0.94,107.77,22015342,11419500,10595842,-215750.3516
9,18086546,9364817,8721729,1.6,0.83,0.77,107.37,18086546,9364817,8721729,-177248.1508
10,19224062,9956298,9267764,1.7,0.88,0.82,107.43,19224062,9956298,9267764,-188395.8076
11,19310091,9974473,9335618,1.71,0.88,0.83,106.84,19310091,9974473,9335618,-189238.8918
12,18864678,9727202,9137476,1.67,0.86,0.81,106.45,18864678,9727202,9137476,-184873.8444
13,19367292,9987990,9379302,1.71,0.88,0.83,106.49,19367292,9987990,9379302,-189799.4616
14,20460569,10537630,9922939,1.81,0.93,0.88,106.19,20460569,10537630,9922939,-200513.5762
15,21643791,11123627,10520164,1.91,0.98,0.93,105.74,21643791,11123627,10520164,-212109.1518
16,23487567,12043876,11443691,2.08,1.07,1.01,105.24,23487567,12043876,11443691,-230178.1566
17,24536599,12581345,11955254,2.17,1.11,1.06,105.24,24536599,12581345,11955254,-240458.6702
18,24496002,12567848,11928154,2.17,1.11,1.06,105.36,24496002,12567848,11928154,-240060.8196
19,25994462,13333893,12660569,2.3,1.18,1.12,105.32,25994462,13333893,12660569,-254745.7276
20,26036065,13191336,12844729,2.3,1.17,1.14,102.7,26036065,13191336,12844729,-255153.437
21,27155679,13820659,13335020,2.4,1.22,1.18,103.64,27155679,13820659,13335020,-266125.6542
22,24552078,12586327,11965751,2.17,1.11,1.06,105.19,24552078,12586327,11965751,-240610.3644
23,22823165,11691041,11132124,2.02,1.03,0.98,105.02,22823165,11691041,11132124,-223667.017
24,25194187,12943660,12250527,2.23,1.14,1.08,105.66,25194187,12943660,12250527,-246903.0326
25,24520614,12593865,11926749,2.17,1.11,1.05,105.59,24520614,12593865,11926749,-240302.0172
26,25287489,12959015,12328474,2.24,1.15,1.09,105.11,25287489,12959015,12328474,-247817.3922
27,27026864,13966581,13060283,2.39,1.24,1.16,106.94,27026864,13966581,13060283,-264863.2672
28,15928062,8144945,7783117,1.41,0.72,0.69,104.65,15928062,8144945,7783117,-156095.0076
29,11504496,5848577,5655919,1.02,0.52,0.5,103.41,11504496,5848577,5655919,-112744.0608
30,14443119,7519677,6923442,1.28,0.67,0.61,108.61,14443119,7519677,6923442,-141542.5662
31,14378626,7535588,6843038,1.27,0.67,0.61,110.12,14378626,7535588,6843038,-140910.5348
32,19060366,10007244,9053122,1.69,0.89,0.8,110.54,19060366,10007244,9053122,-186791.5868
33,18350283,9528741,8821542,1.62,0.84,0.78,108.02,18350283,9528741,8821542,-179832.7734
34,17643313,9114883,8528430,1.56,0.81,0.75,106.88,17643313,9114883,8528430,-172904.4674
35,19377065,10051375,9325690,1.71,0.89,0.82,107.78,19377065,10051375,9325690,-189895.237
36,18330697,9452337,8878360,1.62,0.84,0.79,106.46,18330697,9452337,8878360,-179640.8306
