Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,13603,7295,6308,1.13,0.6,0.53,115.65,14315949.98,7677339.932,6638610.047,-292045.3796
1,12038,6575,5462,0.99,0.54,0.45,120.37,12668926.4,6919603.845,5748270.145,-258446.0986
2,12327,6759,5569,1.01,0.56,0.46,121.37,12973073.25,7113247.512,5860878.147,-264650.6943
3,14249,7680,6569,1.16,0.62,0.54,116.9,14995807.63,8082518.256,6913289.378,-305914.4757
4,14594,7970,6624,1.22,0.65,0.56,120.33,15358889.51,8387717.513,6971171.996,-313321.346
5,15583,8310,7274,1.3,0.69,0.6,114.25,16399724.22,8745537.332,7655239.296,-334554.374
6,16901,8997,7904,1.4,0.74,0.65,113.82,17786802.22,9468543.848,8318258.372,-362850.7653
7,16461,8757,7704,1.37,0.72,0.65,113.67,17323741.28,9215965.152,8107776.126,-353404.3221
8,18107,9519,8587,1.5,0.79,0.71,110.86,19056010.16,10017902.51,9037055.243,-388742.6073
9,18956,10024,8932,1.57,0.83,0.74,112.23,19949507.3,10549370.18,9400137.118,-406969.9489
10,21579,11470,10109,1.74,0.92,0.83,113.46,22709981.96,12071156.82,10638825.14,-463283.632
11,25842,13629,12213,2.04,1.08,0.97,111.59,27196411.04,14343312.67,12853098.37,-554806.7852
12,24813,13179,11634,1.97,1.04,0.93,113.28,26113479.88,13869727.62,12243752.26,-532714.9896
13,23980,12331,11649,1.92,0.99,0.93,105.86,25236821.33,12977282.89,12259538.43,-514831.155
14,25785,13408,12377,2.05,1.06,0.99,108.33,27136423.6,14110729.79,13025693.81,-553583.0414
15,22240,11627,10613,1.81,0.94,0.86,109.56,23405625.78,12236385.39,11169240.4,-477474.766
16,19266,10072,9193,1.61,0.84,0.77,109.57,20275754.78,10599885.92,9674816.449,-413625.3975
17,17053,8890,8164,1.46,0.76,0.7,108.89,17946768.73,9355935.846,8591885.292,-366114.082
18,16708,8876,7833,1.46,0.77,0.69,113.32,17583686.85,9341202.089,8243537.174,-358707.2118
19,17858,9088,8770,1.59,0.81,0.78,103.63,18793959.77,9564313.27,9229646.498,-383396.7793
20,15195,7667,7527,1.37,0.69,0.68,101.86,15991388.66,8068836.91,7921499.338,-326224.3286
21,14803,7239,7563,1.33,0.65,0.67,95.72,15578843.46,7618404.903,7959386.142,-317808.4065
22,16576,8250,8326,1.42,0.71,0.71,99.09,17444768.57,8682392.658,8762375.911,-355873.2788
23,16309,8127,8181,1.41,0.7,0.7,99.34,17163774.77,8552946.076,8609776.283,-350141.0053
24,16290,8092,8197,1.38,0.69,0.69,98.72,17143778.96,8516111.683,8626614.863,-349733.0907
25,18873,9378,9495,1.59,0.79,0.8,98.77,19862157.17,9869512.527,9992644.641,-405188.0062
26,19402,9487,9915,1.61,0.8,0.82,95.69,20418882.71,9984225.351,10434657.36,-416545.2073
27,21423,10721,10702,1.77,0.9,0.88,100.17,22545805.81,11282900.81,11262905,-459934.4385
28,22548,11254,11294,1.88,0.94,0.94,99.65,23729768.44,11843836,11885932.45,-484087.2762
29,23206,11670,11536,1.9,0.96,0.95,101.16,24422255.03,12281639.07,12140615.96,-498214.0027
30,24982,12638,12345,2.03,1.03,1,102.37,26291337.38,13300373.14,12992016.65,-536343.2825
31,25967,13053,12914,2.1,1.06,1.04,101.08,27327962.44,13737123.8,13590838.64,-557490.4338
32,24857,12505,12352,2,1.02,0.99,101.24,26159785.98,13160402.45,12999383.53,-533659.6339
