Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,13442,7328,6114,1.09,0.59,0.5,119.85,13797751.73,7521940.536,6275811.195,-347703.3436
1,11045,6106,4939,0.87,0.47,0.4,123.63,11337313.49,6267599.47,5069714.016,-285700.2998
2,12776,7110,5667,1.03,0.56,0.47,125.47,13114125.59,7298171.017,5816981.034,-330475.9648
3,13075,7174,5901,1.05,0.57,0.48,121.57,13421038.83,7363864.821,6057174.004,-338210.1784
4,14678,7945,6732,1.18,0.63,0.55,118.02,15066463.32,8155269.864,6910166.988,-379674.8756
5,14984,8112,6871,1.21,0.66,0.56,118.06,15380561.82,8326689.633,7052845.718,-387590.1578
6,15980,8552,7428,1.29,0.69,0.61,115.13,16402921.64,8778334.534,7624587.105,-413353.6253
7,17191,9308,7882,1.39,0.75,0.64,118.09,17645971.58,9554342.592,8090602.525,-444678.4839
8,17090,9047,8042,1.38,0.73,0.65,112.5,17542298.55,9286435.048,8254837.035,-442065.9234
9,18611,9899,8712,1.47,0.78,0.69,113.62,19103552.85,10160983.81,8942569.044,-481409.5319
10,19954,10755,9199,1.58,0.84,0.74,116.91,20482096.27,11039638.44,9442457.832,-516148.826
11,21238,11404,9834,1.64,0.87,0.77,115.96,21800078.21,11705814.67,10094263.54,-549361.9708
12,26457,13952,12504,2.02,1.06,0.96,111.58,27157202.62,14321249.23,12834926.92,-684361.5059
13,26135,13676,12459,1.99,1.04,0.96,109.77,26826680.67,14037944.7,12788735.96,-676032.3528
14,25322,13236,12086,1.94,1.01,0.92,109.51,25992164.06,13586299.8,12405864.26,-655002.5344
15,26563,13775,12787,2.04,1.06,0.98,107.73,27266007.98,14139564.8,13125416.71,-687103.401
16,22931,11934,10997,1.81,0.94,0.87,108.51,23537884.61,12249841.48,11288043.13,-593154.6922
17,19050,10004,9046,1.55,0.81,0.74,110.59,19554171.29,10268762.71,9285408.582,-492765.1165
18,17532,9136,8396,1.47,0.77,0.71,108.81,17995996.38,9377790.494,8618205.887,-453499.1088
19,15215,7923,7292,1.33,0.7,0.63,108.64,15617675.39,8132687.619,7484987.772,-393565.4198
20,17884,9179,8705,1.54,0.8,0.74,105.44,18357312.3,9421928.518,8935383.784,-462604.27
21,15060,7518,7541,1.29,0.66,0.63,99.7,15458573.21,7716969.016,7740577.727,-389556.0449
22,15572,7649,7924,1.33,0.66,0.67,96.52,15984123.64,7851436.021,8133714.084,-402799.9157
23,16970,8374,8595,1.41,0.7,0.71,97.43,17419122.67,8595623.642,8822472.559,-438961.8912
24,17332,8490,8842,1.45,0.71,0.73,96.01,17790703.24,8714693.662,9076009.583,-448325.7218
25,16713,8330,8383,1.37,0.69,0.68,99.36,17155320.99,8550459.152,8604861.833,-432314.0888
26,18760,9356,9404,1.53,0.77,0.77,99.5,19256496.24,9603612.944,9652883.297,-485263.7053
27,19416,9661,9755,1.59,0.79,0.8,99.03,19929857.73,9916684.978,10013172.75,-502232.4148
28,21864,10891,10972,1.78,0.89,0.89,99.26,22442645.73,11179237.77,11262381.49,-565554.6723
29,22534,11347,11186,1.82,0.92,0.9,101.44,23130377.74,11647306.12,11482045.15,-582885.5189
30,24570,12281,12288,1.98,1,0.98,99.94,25220261.87,12606025.07,12613210.33,-635550.5991
31,24046,12200,11846,1.91,0.97,0.94,102.99,24682393.85,12522881.35,12159512.5,-621996.325
32,26846,13473,13373,2.12,1.07,1.05,100.75,27556497.77,13829572.17,13726925.6,-694423.7437
33,24583,12307,12276,1.94,0.98,0.95,100.26,25233605.92,12632713.18,12600892.74,-635886.8693
34,27457,13775,13682,2.15,1.09,1.06,100.67,28183668.3,14139564.8,14044103.5,-710228.4412
35,22079,10972,11107,1.73,0.87,0.86,98.78,22663335.85,11262381.49,11400954.36,-571116.0634
36,25127,12791,12336,1.95,1,0.95,103.69,25792003.26,13129522.57,12662480.68,-649958.482
37,24504,12357,12147,1.92,0.98,0.94,101.73,25152515.13,12684036.46,12468478.67,-633843.3814
38,25190,12760,12429,1.99,1.01,0.98,102.66,25856670.59,13097702.13,12757941.99,-651588.0989
