Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,13150,7105,6045,1.05,0.57,0.48,117.54,13560848.17,7326982.986,6233865.187,-406825.4452
1,11089,6189,4901,0.87,0.48,0.39,126.27,11435455.92,6382364.208,5054122.958,-343063.6777
2,12269,6663,5607,0.98,0.53,0.45,118.84,12652322.91,6871173.489,5782180.662,-379569.6872
3,13249,7246,6003,1.06,0.57,0.49,120.72,13662941.25,7472388.278,6190552.972,-409888.2375
4,13220,7307,5913,1.06,0.58,0.48,123.58,13633035.2,7535294.114,6097741.083,-408991.0559
5,15274,8297,6977,1.23,0.67,0.57,118.92,15751208.74,8556224.889,7194983.856,-472536.2623
6,15169,8376,6793,1.23,0.67,0.55,123.3,15642928.21,8637693.102,7005235.105,-469287.8462
7,15999,8592,7407,1.29,0.69,0.6,115.99,16498860.07,8860441.635,7638418.435,-494965.8021
8,17484,9548,7936,1.42,0.77,0.65,120.32,18030256.23,9846310.141,8183946.091,-540907.687
9,17202,9381,7820,1.38,0.75,0.63,119.96,17739445.65,9674092.525,8064321.879,-532183.3694
10,19455,10414,9041,1.56,0.83,0.73,115.19,20062836.59,10739366.76,9323469.835,-601885.0978
11,19068,10121,8947,1.51,0.8,0.71,113.11,19663745.47,10437212.5,9226532.973,-589912.3642
12,20842,10981,9861,1.63,0.86,0.77,111.35,21493170.92,11324081.66,10169089.26,-644795.1276
13,26464,13870,12594,2.03,1.06,0.97,110.13,27290820.23,14303343.28,12987476.95,-818724.6069
14,26411,13834,12577,2.03,1.06,0.96,109.99,27236164.34,14266218.53,12969945.82,-817084.9302
15,24478,12845,11633,1.9,0.99,0.91,110.42,25242771.22,13246318.99,11996452.23,-757283.1367
16,25816,13493,12323,2.01,1.04,0.96,109.49,26622574.63,13914564.59,12708010.04,-798677.239
17,21356,11258,10098,1.7,0.9,0.81,111.49,22023229.93,11609736.02,10413493.9,-660696.8979
18,17600,9390,8210,1.45,0.77,0.69,114.36,18149880.44,9683373.714,8466506.73,-544496.4133
19,15467,8012,7456,1.3,0.67,0.63,107.46,15950238.68,8262320.575,7688949.352,-478507.1605
20,15194,7739,7455,1.29,0.66,0.63,103.8,15668709.29,7980791.179,7687918.109,-470061.2786
21,17020,8649,8371,1.44,0.74,0.7,103.33,17551759.38,8919222.498,8632536.886,-526552.7815
22,15587,7690,7897,1.31,0.65,0.66,97.38,16073987.87,7930260.262,8143727.606,-482219.636
23,15537,7585,7952,1.33,0.65,0.67,95.39,16022425.71,7821979.725,8200445.982,-480672.7712
24,17258,8364,8894,1.42,0.7,0.72,94.04,17797195.27,8625318.184,9171877.084,-533915.858
25,17577,8666,8911,1.47,0.73,0.74,97.26,18126161.85,8936753.632,9189408.218,-543784.8555
26,16189,8106,8082,1.32,0.66,0.66,100.3,16694796.28,8359257.436,8334507.599,-500843.8884
27,19265,9655,9610,1.55,0.78,0.77,100.46,19866900.38,9956653.164,9910247.22,-596007.0115
28,19594,9679,9915,1.57,0.78,0.79,97.61,20206179.4,9981403.001,10224776.4,-606185.382
29,21267,10523,10744,1.69,0.85,0.85,97.94,21931449.28,10851772.27,11079677.02,-657943.4785
30,23072,11578,11494,1.85,0.93,0.92,100.73,23792843.27,11939733.85,11853109.42,-713785.2982
31,23284,11626,11658,1.84,0.93,0.92,99.72,24011466.83,11989233.53,12022233.31,-720344.005
32,25036,12534,12502,1.95,0.98,0.98,100.26,25818204.93,12925602.36,12892602.57,-774546.148
33,27033,13506,13527,2.12,1.06,1.05,99.85,27877597.62,13927970.75,13949626.86,-836327.9285
34,25072,12626,12446,1.94,0.98,0.96,101.45,25855329.69,13020476.73,12834852.95,-775659.8906
35,27772,13857,13915,2.16,1.09,1.07,99.58,28639686.35,14289937.12,14349749.23,-859190.5904
36,21884,10941,10944,1.7,0.86,0.85,99.97,22567726.34,11282831.93,11285925.66,-677031.7903
37,24642,12416,12226,1.91,0.97,0.94,101.55,25411895.11,12803915.66,12607979.45,-762356.8532
38,24646,12544,12102,1.92,0.98,0.94,103.65,25416020.08,12935914.79,12480105.29,-762480.6024
39,24307,12171,12136,1.92,0.96,0.96,100.29,25066428.63,12551261.07,12515167.56,-751992.859
40,29403,14998,14406,2.31,1.19,1.13,104.11,30321644.02,15466585.62,14856089.64,-909649.3205
41,21146,10707,10438,1.69,0.86,0.82,102.57,21806668.86,11041521.02,10764116.6,-654200.0657
42,12326,6333,5993,1.02,0.53,0.49,105.68,12711103.77,6530863.23,6180240.54,-381333.1131
43,14776,7561,7214,1.26,0.65,0.61,104.81,15237649.63,7797229.889,7439388.496,-457129.4888
44,13817,7141,6676,1.13,0.58,0.55,106.97,14248687.39,7364107.742,6884579.65,-427460.6218
45,17939,9132,8807,1.47,0.74,0.72,103.68,18499471.89,9417312.967,9082158.924,-554984.1567
46,19715,10019,9697,1.56,0.79,0.77,103.33,20330959.83,10332025.69,9999965.379,-609928.7948
47,18331,9191,9140,1.45,0.73,0.72,100.57,18903719.23,9478156.316,9425562.912,-567111.5769
48,19295,9845,9449,1.53,0.78,0.75,104.19,19897837.68,10152589.37,9744217.063,-596935.1304
49,19033,9565,9468,1.48,0.74,0.74,101.03,19627651.96,9863841.275,9763810.684,-588829.5588
50,18595,9186,9409,1.44,0.71,0.73,97.62,19175967.44,9473000.1,9702967.335,-575279.0231
51,17787,8932,8855,1.37,0.69,0.68,100.87,18342722.92,9211064.325,9131658.598,-550281.6877
52,15465,7931,7534,1.19,0.61,0.59,105.27,15948176.2,8178789.875,7769386.322,-478445.2859
53,14998,7530,7467,1.17,0.59,0.58,100.84,15466585.62,7765261.349,7700293.027,-463997.5686
54,14834,7516,7318,1.15,0.58,0.57,102.7,15297461.73,7750823.944,7546637.789,-458923.852
55,12934,6538,6397,0.99,0.5,0.49,102.2,13338099.64,6742268.088,6596862.795,-400142.9892
56,12527,6516,6011,0.97,0.49,0.47,108.41,12918383.65,6719580.737,6198802.918,-387551.5096
57,11451,5879,5571,0.88,0.45,0.43,105.53,11808765.96,6062678.814,5745055.906,-354262.9789
58,10536,5362,5174,0.81,0.41,0.4,103.65,10865178.43,5529526.076,5335652.353,-325955.3529
59,10024,5106,4918,0.77,0.39,0.38,103.81,10337181.91,5265527.815,5071654.092,-310115.4572
60,10081,5080,5000,0.79,0.39,0.4,101.6,10395962.77,5238715.492,5156216.035,-311878.8831
61,9280,4714,4565,0.73,0.37,0.36,103.27,9569936.961,4861280.478,4707625.24,-287098.1088
62,9580,4873,4707,0.74,0.38,0.37,103.53,9879309.924,5025248.148,4854061.776,-296379.2977
63,9053,4690,4363,0.71,0.36,0.35,107.51,9335844.753,4836530.641,4499314.112,-280075.3426
64,8030,3986,4043,0.64,0.31,0.32,98.6,8280882.953,4110535.423,4169316.286,-248426.4886
65,9210,4709,4501,0.73,0.37,0.36,104.61,9497749.937,4856124.262,4641625.675,-284932.4981
66,8602,4401,4201,0.68,0.35,0.33,104.76,8870754.067,4538501.354,4332252.713,-266122.622
67,8248,4132,4116,0.65,0.32,0.33,100.38,8505693.972,4261096.932,4244597.04,-255170.8192
68,8038,3949,4089,0.64,0.31,0.32,96.57,8289132.898,4072379.425,4216753.474,-248673.9869
