Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,212420,112480,99940,1,0.53,0.47,112.55,13781528.57,7297553.589,6483974.979,-319731.4628
1,241071,129721,111350,1.13,0.61,0.52,116.5,15640367.54,8416126.859,7224240.684,-362856.527
2,252145,135743,116402,1.18,0.64,0.55,116.62,16358834.01,8806826.252,7552007.76,-379524.9491
3,279010,150566,128444,1.31,0.71,0.6,117.22,18101799.67,9768522.881,8333276.789,-419961.7523
4,258920,139940,118980,1.21,0.66,0.56,117.62,16798387.05,9079122.059,7719264.99,-389722.5795
5,235205,127490,107715,1.1,0.6,0.51,118.36,15259789.22,8271382.531,6988406.693,-354027.11
6,242956,132344,110612,1.14,0.62,0.52,119.65,15762663.85,8586303.629,7176360.22,-365693.8013
7,240704,131109,109595,1.13,0.62,0.51,119.63,15616557.07,8506178.463,7110378.606,-362304.124
8,230017,124864,105152,1.08,0.59,0.49,118.75,14923198.65,8101011.125,6822122.644,-346218.2086
9,225843,122728,103115,1.06,0.58,0.48,119.02,14652395.05,7962430.271,6689964.779,-339935.5652
10,232466,126190,106276,1.09,0.59,0.5,118.74,15082086.53,8187040.251,6895046.277,-349904.4074
11,226381,122684,103697,1.06,0.58,0.49,118.31,14687299.78,7959575.609,6727724.169,-340745.3549
12,206409,112098,94311,0.97,0.53,0.44,118.86,13391542.84,7272769.934,6118772.907,-310683.7939
13,212983,115866,97117,1,0.54,0.46,119.31,13818055.26,7517232.789,6300822.474,-320578.8821
14,225282,121847,103435,1.06,0.57,0.49,117.8,14615998.11,7905272.157,6710725.956,-339091.1562
15,210290,117139,93151,0.99,0.55,0.44,125.75,13643336.99,7599823.345,6043513.641,-316525.4181
16,222973,120806,102168,1.05,0.57,0.48,118.24,14466193.25,7837733.454,6628524.672,-335615.6833
17,247449,132902,114546,1.16,0.62,0.54,116.03,16054163.75,8622505.931,7431592.936,-372456.5989
18,233814,124881,108933,1.1,0.59,0.51,114.64,15169542.98,8102114.063,7067428.922,-351933.3972
19,251022,130521,120500,1.18,0.61,0.57,108.32,16285975.26,8468029.801,7817880.579,-377834.626
20,343834,174942,168892,1.61,0.82,0.79,103.58,22307495.03,11350005.51,10957489.52,-517533.8846
21,304879,158112,146767,1.43,0.74,0.69,107.73,19780146.17,10258097.38,9522048.787,-458899.391
22,302120,159248,142872,1.42,0.75,0.67,111.46,19601145.9,10331799.56,9269346.34,-454746.5848
23,297057,155658,141400,1.39,0.73,0.66,110.08,19272665.15,10098885.1,9173844.928,-447125.8316
24,306947,161184,145763,1.44,0.76,0.68,110.58,19914315.27,10457404.67,9456910.596,-462012.1142
25,429074,217098,211976,2.01,1.02,0.99,102.42,27837753.46,14085031.02,13752722.44,-645835.8802
26,406662,205417,201246,1.91,0.96,0.94,102.07,26383692.55,13327183.19,13056574.23,-612101.6671
27,385115,194542,190574,1.81,0.91,0.89,102.08,24985751.69,12621627.58,12364188.99,-579669.4393
28,409523,207303,202221,1.92,0.97,0.95,102.51,26569310.44,13449544.38,13119830.94,-616408.0022
29,361877,182786,179092,1.7,0.86,0.84,102.06,23478101,11858913.85,11619252.02,-544691.9431
30,315885,158993,156892,1.48,0.75,0.74,101.34,20494200.88,10315255.49,10178945.39,-475465.4605
31,305557,153658,151899,1.43,0.72,0.71,101.16,19824133.91,9969127.751,9855006.158,-459919.9067
32,302016,152294,149722,1.42,0.71,0.7,101.72,19594398.51,9880633.235,9713765.278,-454590.0455
33,348080,176772,171308,1.63,0.83,0.8,103.19,22582969.89,11468733.49,11114236.4,-523924.9015
34,301510,152372,149138,1.41,0.71,0.7,102.17,19561569.9,9885693.772,9675876.131,-453828.4217
35,290952,148514,142438,1.37,0.7,0.67,104.27,18876580.83,9635391.836,9241188.995,-437936.6753
36,309318,158136,151182,1.45,0.74,0.71,104.6,20068142.61,10259654.47,9808488.146,-465580.9086
37,302175,153724,148451,1.42,0.72,0.7,103.55,19604714.22,9973409.743,9631304.479,-454829.37
38,283567,144796,138771,1.33,0.68,0.65,104.34,18397451.8,9394172.915,9003278.886,-426820.8818
39,321581,163884,157696,1.51,0.77,0.74,103.92,20863749.83,10632577.1,10231107.85,-484038.996
