Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,11731,6341,5390,1.05,0.57,0.48,117.65,14346765.89,7754909.431,6591856.463,-321367.556
1,12039,6405,5634,1.08,0.57,0.5,113.69,14723443.41,7833180.083,6890263.324,-329805.1323
2,11714,6283,5432,1.05,0.56,0.49,115.67,14325975.25,7683976.653,6643221.579,-320901.8457
3,13839,7616,6223,1.24,0.68,0.56,122.38,16924805.49,9314207.574,7610597.917,-379115.643
4,14166,7627,6539,1.27,0.68,0.58,116.65,17324719.6,9327660.343,7997059.261,-388073.7191
5,13118,7084,6034,1.17,0.63,0.54,117.4,16043037.68,8663582.781,7379454.898,-359364.044
6,12481,6658,5822,1.12,0.6,0.52,114.35,15264000.1,8142593.754,7120183.364,-341913.6022
7,12643,6906,5737,1.13,0.62,0.51,120.37,15462122.68,8445892.53,7016230.154,-346351.5481
8,12069,6663,5406,1.08,0.6,0.48,123.26,14760132.78,8148708.649,6611424.126,-330626.9742
9,12136,6579,5557,1.09,0.59,0.5,118.39,14842072.36,8045978.418,6796093.946,-332462.4209
10,11124,5999,5125,0.99,0.54,0.46,117.04,13604417.68,7336650.635,6267767.046,-304738.9561
11,11098,6075,5023,0.99,0.54,0.45,120.95,13572620.23,7429597.034,6143023.194,-304026.6931
12,11812,6368,5444,1.06,0.57,0.49,116.96,14445827.19,7787929.863,6657897.326,-323586.529
13,11970,6437,5533,1.07,0.58,0.49,116.32,14639057.86,7872315.409,6766742.451,-327914.8961
14,11558,6262,5296,1.03,0.56,0.47,118.25,14135190.54,7658294.095,6476896.444,-316628.2681
15,13208,7129,6079,1.18,0.64,0.54,117.28,16153105.78,8718616.833,7434488.95,-361829.5695
16,13890,7596,6294,1.24,0.68,0.56,120.69,16987177.42,9289747.996,7697429.421,-380512.7741
17,14745,7670,7074,1.32,0.69,0.63,108.43,18032824.41,9380248.437,8651352.991,-403935.2667
18,14121,7244,6877,1.26,0.65,0.61,105.34,17269685.55,8859259.41,8410426.141,-386840.9563
19,12751,6537,6214,1.14,0.58,0.56,105.19,15594204.41,7994613.303,7599591.106,-349310.1788
20,16610,8738,7872,1.49,0.78,0.7,110.99,20313680.12,10686389.94,9627290.182,-455026.4347
21,17116,9032,8084,1.53,0.81,0.72,111.73,20932507.46,11045945.75,9886561.716,-468888.1672
22,18081,9540,8541,1.62,0.85,0.76,111.69,22112682.14,11667219.05,10445463.09,-495324.0799
23,23135,11989,11146,2.07,1.07,1,107.56,28293617.68,14662294.46,13631323.22,-633777.036
24,22465,11663,10802,2.01,1.04,0.97,107.97,27474221.79,14263603.33,13210618.46,-615422.5681
25,19837,9950,9887,1.77,0.89,0.88,100.63,24260233.15,12168640.41,12091592.74,-543429.2225
26,21103,10555,10548,1.89,0.94,0.94,100.07,25808524.48,12908542.67,12899981.81,-578110.9484
27,19005,9468,9537,1.7,0.85,0.85,99.27,23242714.67,11579164.56,11663550.11,-520636.8087
28,16832,8369,8463,1.5,0.75,0.76,98.89,20585181.45,10235110.71,10350070.73,-461108.0644
29,16359,8351,8008,1.46,0.75,0.72,104.28,20006712.41,10213097.09,9793615.317,-448150.358
30,15710,7930,7780,1.4,0.71,0.7,101.92,19212999.08,9698222.96,9514776.12,-430371.1794
31,18281,9308,8973,1.63,0.83,0.8,103.73,22357277.92,11383487.93,10973789.99,-500803.0255
32,16271,8356,7915,1.45,0.75,0.71,105.58,19899090.26,10219211.99,9679878.276,-445739.6219
33,15769,7900,7869,1.41,0.71,0.7,100.4,19285154.84,9661533.592,9623621.245,-431987.4684
34,16646,8492,8154,1.49,0.76,0.73,104.15,20357707.36,10385537.12,9972170.242,-456012.6449
35,15886,8090,7796,1.42,0.72,0.7,103.78,19428243.37,9893899.59,9534343.783,-435192.6515
36,15125,7715,7409,1.35,0.69,0.66,104.13,18497556.4,9435282.489,9061050.935,-414345.2634
37,16891,8801,8090,1.51,0.79,0.72,108.79,20657337.2,10763437.61,9893899.59,-462724.3533
38,17298,8831,8467,1.55,0.79,0.76,104.29,21155089.63,10800126.98,10354962.65,-473874.0077
39,19134,9620,9515,1.71,0.86,0.85,101.1,23400478.96,11765057.36,11636644.57,-524170.7286
40,19655,10105,9550,1.76,0.9,0.85,105.81,24037650.98,12358202.15,11679448.84,-538443.382
41,20380,10331,10048,1.82,0.92,0.9,102.82,24924310.71,12634595.38,12288492.35,-558304.5599
42,20479,10602,9877,1.83,0.95,0.88,107.35,25045385.62,12966022.68,12079362.95,-561016.638
43,22571,11517,11054,2.02,1.03,0.99,104.19,27603857.56,14085048.4,13518809.16,-618326.4093
44,20686,10462,10225,1.85,0.94,0.91,102.32,25298542.26,12794805.63,12504959.62,-566687.3467
45,21994,11207,10787,1.97,1,0.96,103.9,26898198.71,13705924.93,13192273.78,-602519.6511
46,17476,8925,8551,1.56,0.8,0.76,104.37,21372779.88,10915087,10457692.88,-478750.2693
47,19509,9883,9626,1.74,0.88,0.86,102.67,23859096.06,12086700.82,11772395.24,-534443.7517
48,19940,10077,9863,1.78,0.9,0.88,102.17,24386199.98,12323958.74,12062241.24,-546250.8795
49,19210,9791,9418,1.72,0.88,0.84,103.96,23493425.35,11974186.76,11518015.62,-526252.728
50,22061,11272,10790,1.97,1.01,0.96,104.47,26980138.3,13785418.56,13195942.72,-604355.0979
51,16422,8317,8105,1.47,0.74,0.72,102.62,20083760.08,10171515.81,9912244.274,-449876.2258
52,9028,4507,4520,0.81,0.4,0.4,99.71,11041053.83,5511966.063,5527864.789,-247319.6058
53,11587,5902,5685,1.04,0.53,0.51,103.81,14170656.93,7218021.679,6952635.249,-317422.7152
54,10436,5357,5078,0.93,0.48,0.45,105.5,12763008.17,6551498.159,6210287.036,-285891.3831
55,13412,6932,6480,1.2,0.62,0.58,106.97,16402593.49,8477689.982,7924903.503,-367418.0941
56,14774,7563,7211,1.32,0.68,0.64,104.88,18068290.8,9249389.691,8818901.105,-404729.7138
57,13978,7109,6870,1.25,0.64,0.61,103.48,17094799.56,8694157.254,8401865.288,-382923.5102
58,14183,7110,7073,1.27,0.64,0.63,100.51,17345510.25,8695380.233,8650130.012,-388539.4295
59,14371,7179,7192,1.28,0.64,0.64,99.81,17575430.29,8779765.779,8795664.506,-393689.6384
60,12962,6507,6454,1.16,0.58,0.58,100.82,15852252.96,7957923.935,7893106.051,-355090.4664
61,13001,6490,6511,1.16,0.58,0.58,99.68,15899949.14,7937133.293,7962815.85,-356158.8608
