Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,11321,6047,5274,0.99,0.53,0.46,114.64,13385405.49,7149681.744,6235723.75,-353374.705
1,12251,6750,5501,1.07,0.59,0.48,122.71,14484992.73,7980875.107,6504117.624,-382403.8081
2,13742,7506,6237,1.2,0.66,0.54,120.34,16247879.37,8874733.119,7374328.599,-428944.0152
3,14008,7701,6307,1.22,0.67,0.55,122.1,16562384.96,9105291.733,7457093.229,-437246.963
4,13508,7244,6264,1.18,0.63,0.55,115.65,15971209.03,8564956.929,7406252.099,-421639.9183
5,13105,7036,6068,1.14,0.61,0.53,115.95,15494721.23,8319027.741,7174511.133,-409060.6404
6,12482,6886,5596,1.09,0.6,0.49,123.06,14758116.01,8141674.961,6616441.051,-389614.2627
7,12616,6833,5783,1.1,0.6,0.51,118.14,14916551.16,8079010.312,6837540.851,-393796.9507
8,11288,6158,5129,0.99,0.54,0.45,120.06,13346387.88,7280922.801,6064282.729,-352344.6401
9,11788,6328,5460,1.03,0.55,0.48,115.91,13937563.82,7481922.618,6455641.197,-367951.6847
10,12149,6471,5678,1.06,0.57,0.5,113.97,14364392.84,7650998.936,6713393.905,-379219.971
11,12481,6796,5685,1.09,0.59,0.5,119.55,14756933.66,8035263.293,6721670.368,-389583.0486
12,11894,6488,5406,1.04,0.57,0.47,120.03,14062893.11,7671098.917,6391794.197,-371260.3782
13,13054,7051,6003,1.14,0.62,0.52,117.45,15434421.28,8336763.019,7097658.262,-407468.7218
14,12904,6904,6000,1.13,0.6,0.52,115.05,15257068.5,8162957.294,7094111.206,-402786.6084
15,14708,7666,7042,1.28,0.67,0.61,108.86,17390031.27,9063909.417,8326121.852,-459096.8255
16,15785,8221,7564,1.38,0.72,0.66,108.69,18663424.23,9720114.704,8943309.527,-492714.3997
17,15518,8195,7323,1.36,0.72,0.64,111.91,18347736.28,9689373.555,8658362.727,-484380.2379
18,17410,9437,7973,1.52,0.82,0.7,118.35,20584746.02,11157854.58,9426891.441,-543437.2948
19,16967,8547,8420,1.48,0.75,0.74,101.51,20060964.14,10105561.41,9955402.726,-529609.4533
20,19080,9609,9471,1.67,0.84,0.83,101.47,22559273.63,11361219.1,11198054.54,-595564.824
21,23520,12088,11432,2.05,1.06,1,105.74,27808915.93,14292269.38,13516646.55,-734155.3805
22,22348,11486,10862,1.95,1,0.95,105.75,26423199.54,13580493.55,12842705.99,-697572.4678
23,20886,10539,10347,1.82,0.92,0.9,101.85,24694601.11,12460806.33,12233794.77,-651937.4692
24,22733,11521,11212,1.99,1.01,0.98,102.75,26878405.01,13621875.87,13256529.14,-709589.8922
25,19187,9486,9701,1.68,0.83,0.85,97.77,22685785.28,11215789.82,11469995.47,-598904.7315
26,17041,8535,8506,1.49,0.75,0.74,100.34,20148458.18,10091373.19,10057084.99,-531919.2959
27,16884,8552,8332,1.47,0.75,0.73,102.65,19962828.93,10111473.17,9851355.761,-527018.6838
28,16902,8656,8247,1.48,0.76,0.72,104.96,19984111.27,10234437.77,9750855.853,-527580.5374
29,19245,9748,9497,1.68,0.85,0.83,102.64,22754361.69,11525566.01,11228795.69,-600715.1487
30,16672,8528,8144,1.46,0.74,0.71,104.73,19712170.34,10083096.73,9629073.61,-520401.2969
31,16020,8106,7915,1.4,0.71,0.69,102.41,18941276.92,9584144.239,9358315.032,-500049.7107
32,16814,8613,8201,1.47,0.75,0.72,105.02,19880064.3,10183596.64,9696467.667,-524833.6976
33,16877,8607,8270,1.47,0.75,0.72,104.08,19954552.47,10176502.52,9778049.945,-526800.1852
34,15765,8054,7711,1.38,0.7,0.67,104.45,18639777.19,9522661.942,9117115.251,-492090.1179
35,17638,8970,8668,1.54,0.78,0.76,103.48,20854322.24,10605696.25,10248625.99,-550554.1072
36,17877,9154,8723,1.56,0.8,0.76,104.94,21136904.34,10823249,10313655.34,-558014.2745
37,19615,10057,9558,1.71,0.88,0.83,105.22,23191831.88,11890912.73,11300919.15,-612264.3617
38,20749,10583,10166,1.81,0.92,0.89,104.1,24532618.9,12512829.82,12019789.09,-647661.139
39,21016,10807,10209,1.84,0.94,0.89,105.86,24848306.85,12777676.63,12070630.22,-655995.3009
40,21144,10954,10190,1.85,0.96,0.89,107.49,24999647.89,12951482.36,12048165.53,-659990.7043
41,22994,11633,11361,2.01,1.02,0.99,102.4,27186998.84,13754299.28,13432699.57,-717736.7695
42,21297,10748,10550,1.86,0.94,0.92,101.88,25180547.73,12707917.87,12473812.2,-664766.4599
43,23327,11981,11346,2.04,1.05,0.99,105.59,27580722.02,14165757.73,13414964.29,-728131.0612
44,18630,9491,9139,1.63,0.83,0.8,103.86,22027215.29,11221701.58,10805513.72,-581518.4838
45,20176,10317,9859,1.76,0.9,0.86,104.64,23855131.28,12198324.22,11656807.06,-629775.4658
46,20477,10494,9983,1.79,0.92,0.87,105.12,24211019.19,12407600.5,11803418.69,-639170.9067
47,23177,11877,11300,2.02,1.04,0.99,105.1,27403369.24,14042793.13,13360576.1,-723448.9478
48,19919,10012,9906,1.74,0.87,0.87,101.07,23551266.85,11837706.9,11712377.6,-621753.4449
49,17104,8734,8370,1.49,0.76,0.73,104.35,20222946.34,10326661.21,9896285.132,-533885.7835
50,9402,4669,4732,0.82,0.41,0.41,98.67,11116472.26,5520400.87,5594889.038,-293474.8677
51,12052,6167,5884,1.05,0.54,0.51,104.81,14249704.71,7291563.968,6956958.389,-376192.2043
52,11081,5688,5393,0.97,0.5,0.47,105.46,13101641.05,6725217.423,6376423.622,-345883.3236
53,14034,7295,6738,1.23,0.64,0.59,108.27,16593126.11,8625256.875,7966686.884,-438058.5293
54,15636,8001,7635,1.37,0.7,0.67,104.8,18487253.8,9459997.293,9027256.51,-488063.5004
55,14306,7300,7007,1.25,0.64,0.61,104.18,16914725.82,8631168.634,8284739.537,-446548.7616
56,15012,7598,7414,1.31,0.66,0.65,102.47,17749466.24,8983509.49,8765956.747,-468585.9087
57,15170,7627,7543,1.32,0.67,0.66,101.12,17936277.83,9017797.695,8918480.138,-473517.7348
58,13533,6815,6718,1.18,0.6,0.59,101.45,16000767.82,8057727.978,7943039.847,-422420.2706
59,13646,6874,6772,1.19,0.6,0.59,101.5,16134373.59,8127486.738,8006886.848,-425947.4627
60,11454,5683,5771,1,0.5,0.5,98.46,13542658.29,6719305.664,6823352.628,-357526.1789
61,11563,5924,5639,1.01,0.52,0.49,105.05,13671534.65,7004252.464,6667282.182,-360928.5146
62,11139,5758,5381,0.97,0.5,0.47,107.01,13170217.45,6807982.054,6362235.4,-347693.7408
63,9552,4766,4786,0.83,0.42,0.42,99.58,11293825.04,5635089.001,5658736.039,-298156.9811
64,8999,4557,4442,0.79,0.4,0.39,102.59,10639984.46,5387977.461,5252006.996,-280895.5897
65,8364,4182,4182,0.73,0.37,0.37,100,9889191.021,4944595.511,4944595.511,-261074.643
66,7511,3775,3736,0.66,0.33,0.33,101.04,8880644.878,4463378.3,4417266.578,-234449.0248
67,7254,3601,3653,0.63,0.31,0.32,98.57,8576780.448,4257649.075,4319131.373,-226427.0038
68,6631,3290,3341,0.58,0.29,0.29,98.46,7840175.234,3889937.645,3950237.59,-206980.6262
69,6294,3216,3077,0.55,0.28,0.27,104.52,7441722.655,3802443.606,3638096.697,-196461.4781
70,6485,3254,3231,0.57,0.28,0.28,100.7,7667551.862,3847372.977,3820178.884,-202423.3691
71,6109,3081,3028,0.53,0.27,0.26,101.77,7222987.559,3642826.104,3580161.455,-190686.8716
72,5207,2602,2605,0.45,0.23,0.23,99.89,6156506.175,3076479.56,3080026.615,-162531.763
73,5774,2836,2938,0.5,0.25,0.26,96.52,6826899.684,3353149.897,3473749.787,-180230.1517
74,5252,2622,2630,0.46,0.23,0.23,99.67,6209712.009,3100126.597,3109585.412,-163936.397
75,4932,2384,2548,0.43,0.21,0.22,93.58,5831359.411,2818726.852,3012632.559,-153947.8885
76,4579,2128,2451,0.4,0.19,0.21,86.81,5413989.202,2516044.774,2897944.428,-142929.3149
77,4190,1985,2206,0.37,0.17,0.19,89.98,4954054.325,2346968.457,2608268.22,-130787.0342
78,4110,1958,2152,0.36,0.17,0.19,90.98,4859466.176,2315044.957,2544421.219,-128289.907
79,3363,1504,1859,0.29,0.13,0.16,80.9,3976249.331,1778257.209,2197992.122,-104972.9823
80,2936,1353,1582,0.26,0.12,0.14,85.52,3471385.083,1599722.077,1870480.655,-91644.5662
