Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
59,12063,6099,5964,1.01,0.51,0.5,102.27,13476385.7,6813601.623,6662784.076,-428549.0652
60,12283,6282,6001,1.03,0.53,0.5,104.68,13722162.44,7018043.187,6704119.256,-436364.7657
61,10767,5493,5275,0.91,0.46,0.44,104.13,12028537.25,6136598.412,5893056.003,-382507.4845
62,9910,4921,4990,0.83,0.41,0.42,98.62,11071125.12,5497578.88,5574663.404,-352061.7787
63,9411,4809,4602,0.79,0.4,0.39,104.48,10513658.78,5372456.174,5141202.602,-334334.3491
64,8626,4444,4182,0.73,0.37,0.35,106.26,9636682.67,4964690.214,4671992.456,-306446.5089
65,8462,4296,4166,0.71,0.36,0.35,103.13,9453467.279,4799349.496,4654117.784,-300620.2595
66,8378,4217,4161,0.7,0.35,0.35,101.36,9359625.25,4711093.301,4648531.949,-297636.0829
67,8300,4260,4041,0.7,0.36,0.34,105.42,9272486.223,4759131.483,4514471.907,-294865.0619
68,6933,3536,3397,0.58,0.3,0.29,104.11,7745318.914,3950302.564,3795016.349,-246301.1415
69,7776,3986,3790,0.65,0.34,0.32,105.19,8687090.707,4453027.721,4234062.986,-276249.4845
70,7427,3747,3680,0.62,0.32,0.31,101.82,8297199.419,4186024.804,4111174.614,-263850.9415
71,6948,3475,3473,0.58,0.29,0.29,100.04,7762076.419,3882155.376,3879921.042,-246834.0301
72,6694,3326,3368,0.56,0.28,0.28,98.74,7478315.997,3715697.491,3762618.506,-237810.4487
73,5958,2824,3134,0.5,0.24,0.26,90.12,6656081.074,3154879.65,3501201.424,-211663.3782
74,6209,3014,3195,0.52,0.25,0.27,94.31,6936489.995,3367141.383,3569348.612,-220580.3818
75,4999,2399,2600,0.42,0.2,0.22,92.26,5584717.907,2680083.668,2904634.238,-177594.0294
76,4528,2265,2263,0.38,0.19,0.19,100.08,5058532.243,2530383.289,2528148.954,-160861.3253
77,4622,2223,2399,0.39,0.19,0.2,92.64,5163545.942,2483462.274,2680083.668,-164200.761
78,3329,1534,1795,0.28,0.13,0.15,85.48,3719048.992,1713734.201,2005314.792,-118265.758
79,3507,1649,1858,0.3,0.14,0.16,88.79,3917904.721,1842208.407,2075696.313,-124589.3701
80,3206,1414,1792,0.27,0.12,0.15,78.89,3581637.449,1579674.159,2001963.291,-113896.0709
81,2434,1059,1375,0.2,0.09,0.12,77.05,2719184.514,1183079.869,1536104.645,-86470.06755
82,2137,956,1181,0.18,0.08,0.1,80.92,2387385.911,1068011.666,1319374.244,-75918.87196
83,1965,854,1111,0.17,0.07,0.09,76.91,2195233.184,954060.6306,1241172.553,-69808.41525
84,1561,668,893,0.13,0.06,0.08,74.81,1743897.71,746267.5659,997630.1442,-55455.94718
85,1328,567,761,0.11,0.05,0.06,74.44,1483597.796,633433.6974,850164.0983,-47178.4099
86,1134,444,689,0.1,0.04,0.06,64.45,1266867.395,496022.1546,769728.0732,-40286.38315
87,922,369,553,0.08,0.03,0.05,66.82,1030027.988,412234.6285,617793.3592,-32754.89001
88,585,234,351,0.05,0.02,0.03,66.58,653542.7037,261417.0815,392125.6222,-20782.65798
89,467,146,321,0.04,0.01,0.03,45.54,521716.9959,163106.3842,358610.6117,-16590.60047
90+,1403,407,997,0.11,0.03,0.09,40.8224674,1567385.322,454686.975,1113815.514,-49842.85323
