Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,0,0,0,1.03,0.56,0.47,117.96,13786434,7461199,6325235,-390156.0822
1,0,0,0,1.17,0.64,0.53,121.06,15657955,8574973,7082982,-443120.1265
2,0,0,0,1.17,0.64,0.53,119.66,15617375,8507697,7109678,-441971.7125
3,0,0,0,1.14,0.62,0.52,118.55,15250805,8272491,6978314,-431597.7815
4,0,0,0,1.14,0.62,0.52,118.24,15220041,8246206,6973835,-430727.1603
5,0,0,0,1.11,0.6,0.51,118.45,14732137,7988151,6743986,-416919.4771
6,0,0,0,1.11,0.6,0.51,118.68,14804470,8034452,6770018,-418966.501
7,0,0,0,1.01,0.55,0.46,118.83,13429161,7292300,6136861,-380045.2563
8,0,0,0,1.03,0.56,0.47,118.9,13666956,7423559,6243397,-386774.8548
9,0,0,0,1.07,0.58,0.49,118.45,14248825,7726203,6522622,-403241.7475
10,0,0,0,1.08,0.59,0.5,118.23,14454357,7830808,6623549,-409058.3031
11,0,0,0,1.05,0.56,0.48,117.3,13935714,7522558,6413156,-394380.7062
12,0,0,0,1.16,0.62,0.53,116.57,15399559,8288987,7110572,-435807.5197
13,0,0,0,1.14,0.61,0.53,115.53,15225032,8161000,7064032,-430868.4056
14,0,0,0,1.19,0.64,0.56,113.92,15893800,8463924,7429876,-449794.54
15,0,0,0,1.35,0.71,0.64,112.06,18024484,9524898,8499586,-510092.8972
16,0,0,0,1.41,0.73,0.67,108.89,18790521,9795181,8995340,-531771.7443
17,0,0,0,1.56,0.81,0.75,107.45,20775369,10760828,10014541,-587942.9427
18,0,0,0,1.56,0.81,0.75,107.33,20755274,10744556,10010718,-587374.2542
19,0,0,0,1.62,0.83,0.79,105.88,21543466,11079367,10464099,-609680.0878
20,0,0,0,2.1,1.07,1.04,102.71,28026954,14201091,13825863,-793162.7982
21,0,0,0,1.99,1,0.99,101.2,26556649,13357755,13198894,-751553.1667
22,0,0,0,1.84,0.92,0.91,100.72,24474192,12281148,12193044,-692619.6336
23,0,0,0,1.93,0.97,0.96,100.45,25695955,12876542,12819413,-727195.5265
24,0,0,0,1.7,0.85,0.85,99.34,22658768,11292037,11366731,-641243.1344
25,0,0,0,1.5,0.75,0.75,100.06,19933683,9969984,9963699,-564123.2289
26,0,0,0,1.48,0.74,0.74,100.5,19709177,9879292,9829885,-557769.7091
27,0,0,0,1.46,0.74,0.73,101.26,19480836,9801611,9679225,-551307.6588
28,0,0,0,1.67,0.85,0.83,102,22322147,11271599,11050548,-631716.7601
29,0,0,0,1.47,0.74,0.72,102.7,19568009,9914552,9653457,-553774.6547
