Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,13793799,7460206,6333593,1.11,0.6,0.51,117.79,13793799,7460206,6333593,-216562.6443
1,11495247,6332425,5162822,0.93,0.51,0.42,122.65,11495247,6332425,5162822,-180475.3779
2,14010711,7701684,6309027,1.13,0.62,0.51,122.07,14010711,7701684,6309027,-219968.1627
3,14454335,7897234,6557101,1.16,0.64,0.53,120.44,14454335,7897234,6557101,-226933.0595
4,15224282,8257145,6967137,1.23,0.66,0.56,118.52,15224282,8257145,6967137,-239021.2274
5,16933559,9157597,7775962,1.36,0.74,0.63,117.77,16933559,9157597,7775962,-265856.8763
6,16470140,8866012,7604128,1.33,0.71,0.61,116.59,16470140,8866012,7604128,-258581.198
7,17914756,9590414,8324342,1.44,0.77,0.67,115.21,17914756,9590414,8324342,-281261.6692
8,18752106,10014222,8737884,1.51,0.81,0.7,114.61,18752106,10014222,8737884,-294408.0642
9,20082026,10674963,9407063,1.62,0.86,0.76,113.48,20082026,10674963,9407063,-315287.8082
10,26210044,13811030,12399014,2.11,1.11,1,111.39,26210044,13811030,12399014,-411497.6908
11,25137678,13110848,12026830,2.02,1.06,0.97,109.01,25137678,13110848,12026830,-394661.5446
12,24576191,12779621,11796570,1.98,1.03,0.95,108.33,24576191,12779621,11796570,-385846.1987
13,26282644,13619530,12663114,2.12,1.1,1.02,107.55,26282644,13619530,12663114,-412637.5108
14,23190076,12023710,11166366,1.87,0.97,0.9,107.68,23190076,12023710,11166366,-364084.1932
15,20429326,10598460,9830866,1.64,0.85,0.79,107.81,20429326,10598460,9830866,-320740.4182
16,20313426,10468201,9845225,1.63,0.84,0.79,106.33,20313426,10468201,9845225,-318920.7882
17,20065048,10275677,9789371,1.61,0.83,0.79,104.97,20065048,10275677,9789371,-315021.2536
18,23100427,11783695,11316732,1.86,0.95,0.91,104.13,23100427,11783695,11316732,-362676.7039
19,19122938,9752137,9370801,1.54,0.78,0.75,104.07,19122938,9752137,9370801,-300230.1266
20,18393809,9315481,9078328,1.48,0.75,0.73,102.61,18393809,9315481,9078328,-288782.8013
21,18924822,9548059,9376763,1.52,0.77,0.75,101.83,18924822,9548059,9376763,-297119.7054
22,18831591,9519345,9312246,1.52,0.77,0.75,102.22,18831591,9519345,9312246,-295655.9787
23,17931155,9119685,8811470,1.44,0.73,0.71,103.5,17931155,9119685,8811470,-281519.1335
24,20491797,10435196,10056601,1.65,0.84,0.81,103.76,20491797,10435196,10056601,-321721.2129
25,21136635,10766946,10369689,1.7,0.87,0.83,103.83,21136635,10766946,10369689,-331845.1695
26,22874423,11674361,11200062,1.84,0.94,0.9,104.23,22874423,11674361,11200062,-359128.4411
27,23630435,12123051,11507384,1.9,0.98,0.93,105.35,23630435,12123051,11507384,-370997.8295
28,24800391,12734628,12065763,2,1.02,0.97,105.54,24800391,12734628,12065763,-389366.1387
29,25160381,12931772,12228609,2.02,1.04,0.98,105.75,25160381,12931772,12228609,-395017.9817
30,28012344,14396367,13615977,2.25,1.16,1.1,105.73,28012344,14396367,13615977,-439793.8008
31,25018386,12817157,12201229,2.01,1.03,0.98,105.05,25018386,12817157,12201229,-392788.6602
32,27718516,14262160,13456356,2.23,1.15,1.08,105.99,27718516,14262160,13456356,-435180.7012
33,21736582,11133712,10602870,1.75,0.9,0.85,105.01,21736582,11133712,10602870,-341264.3374
34,24828470,12751060,12077410,2,1.03,0.97,105.58,24828470,12751060,12077410,-389806.979
35,24799129,12794614,12004515,2,1.03,0.97,106.58,24799129,12794614,12004515,-389346.3253
36,24144848,12375386,11769462,1.94,1,0.95,105.15,24144848,12375386,11769462,-379074.1136
37,27866189,14366461,13499728,2.24,1.16,1.09,106.42,27866189,14366461,13499728,-437499.1673
38,20923112,10799386,10123726,1.68,0.87,0.81,106.67,20923112,10799386,10123726,-328492.8584
39,11414017,5805544,5608473,0.92,0.47,0.45,103.51,11414017,5805544,5608473,-179200.0669
40,14684726,7608987,7075739,1.18,0.61,0.57,107.54,14684726,7608987,7075739,-230550.1982
41,13059787,6819876,6239911,1.05,0.55,0.5,109.29,13059787,6819876,6239911,-205038.6559
42,17135981,8985776,8150205,1.38,0.72,0.66,110.25,17135981,8985776,8150205,-269034.9017
43,18998424,9889275,9109149,1.53,0.8,0.73,108.56,18998424,9889275,9109149,-298275.2568
44,17364027,8939273,8424754,1.4,0.72,0.68,106.11,17364027,8939273,8424754,-272615.2239
