Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,14986,8154,6832,1.25,0.68,0.57,119.35,15354508.2,8354508.197,7000000,-167364.1393
1,12930,7023,5907,1.05,0.57,0.48,118.89,13247950.82,7195696.721,6052254.098,-144402.6639
2,13547,7355,6192,1.13,0.61,0.52,118.78,13880122.95,7535860.656,6344262.295,-151293.3402
3,14360,7815,6544,1.21,0.65,0.56,119.41,14713114.75,8007172.131,6704918.033,-160372.9508
4,15768,8635,7133,1.32,0.72,0.61,121.06,16155737.7,8847336.066,7308401.639,-176097.541
5,15879,8570,7309,1.35,0.72,0.63,117.25,16269467.21,8780737.705,7488729.508,-177337.1926
6,17513,9514,7999,1.46,0.79,0.68,118.94,17943647.54,9747950.82,8195696.721,-195585.7582
7,18807,9988,8819,1.56,0.82,0.74,113.26,19269467.21,10233606.56,9035860.656,-210037.1926
8,20524,10992,9532,1.68,0.89,0.78,115.32,21028688.52,11262295.08,9766393.443,-229212.7049
9,25878,13558,12320,2.09,1.09,1,110.05,26514344.26,13891393.44,12622950.82,-289006.3525
10,25029,12987,12042,2.02,1.05,0.97,107.84,25644467.21,13306352.46,12338114.75,-279524.6926
11,23978,12511,11467,1.93,1,0.93,109.11,24567622.95,12818647.54,11748975.41,-267787.0902
12,26815,13918,12897,2.13,1.1,1.03,107.92,27474385.25,14260245.9,13214139.34,-299470.7992
13,23245,11998,11247,1.92,1,0.92,106.67,23816598.36,12293032.79,11523565.57,-259600.9221
14,20887,10868,10019,1.74,0.9,0.84,108.47,21400614.75,11135245.9,10265368.85,-233266.7008
15,19195,10095,9100,1.62,0.85,0.78,110.94,19667008.2,10343237.7,9323770.492,-214370.3893
16,18511,9713,8799,1.58,0.83,0.75,110.39,18966188.52,9951844.262,9015368.852,-206731.4549
17,19658,10362,9296,1.67,0.87,0.8,111.47,20141393.44,10616803.28,9524590.164,-219541.1885
18,16106,8368,7738,1.38,0.72,0.66,108.14,16502049.18,8573770.492,7928278.689,-179872.3361
19,14331,7441,6889,1.27,0.66,0.61,108.01,14683401.64,7623975.41,7058401.639,-160049.0779
20,15845,8078,7767,1.39,0.71,0.68,104,16234631.15,8276639.344,7957991.803,-176957.4795
21,14847,7338,7509,1.3,0.65,0.65,97.71,15212090.16,7518442.623,7693647.541,-165811.7828
22,15283,7491,7792,1.31,0.65,0.66,96.13,15658811.48,7675204.918,7983606.557,-170681.0451
23,17913,8759,9154,1.51,0.74,0.76,95.68,18353483.61,8974385.246,9379098.361,-200052.9713
24,19041,9397,9644,1.58,0.78,0.8,97.44,19509221.31,9628073.77,9881147.541,-212650.5123
25,21438,10592,10846,1.77,0.88,0.89,97.66,21965163.93,10852459.02,11112704.92,-239420.2869
26,22057,10999,11057,1.83,0.92,0.91,99.47,22599385.25,11269467.21,11328893.44,-246333.2992
27,22830,11242,11588,1.87,0.92,0.95,97.01,23391393.44,11518442.62,11872950.82,-254966.1885
28,24418,12253,12165,1.98,1,0.98,100.73,25018442.62,12554303.28,12464139.34,-272701.0246
29,25516,12681,12835,2.07,1.03,1.04,98.81,26143442.62,12992827.87,13150614.75,-284963.5246
30,25217,12537,12680,2.05,1.03,1.02,98.88,25837090.16,12845286.89,12991803.28,-281624.2828
31,25787,13044,12743,2.07,1.05,1.02,102.35,26421106.56,13364754.1,13056352.46,-287990.0615
32,21073,10635,10438,1.71,0.86,0.84,101.89,21591188.52,10896516.39,10694672.13,-235343.9549
33,23770,12134,11636,1.91,0.97,0.94,104.28,24354508.2,12432377.05,11922131.15,-265464.1393
34,23537,11916,11621,1.91,0.96,0.94,102.54,24115778.69,12209016.39,11906762.3,-262861.9877
35,23988,11948,12040,2,1.01,0.99,99.24,24577868.85,12241803.28,12336065.57,-267898.7705
36,27666,13914,13752,2.28,1.15,1.12,101.18,28346311.48,14256147.54,14090163.93,-308974.7951
37,19133,9688,9444,1.61,0.81,0.79,102.59,19603483.61,9926229.508,9676229.508,-213677.9713
38,11662,5916,5745,1.03,0.52,0.51,102.97,11948770.49,6061475.41,5886270.492,-130241.5984
39,14887,7475,7412,1.31,0.66,0.65,100.86,15253073.77,7658811.475,7594262.295,-166258.5041
40,13804,6972,6832,1.2,0.61,0.6,102.05,14143442.62,7143442.623,7000000,-154163.5246
41,17668,9084,8584,1.48,0.77,0.72,105.82,18102459.02,9307377.049,8795081.967,-197316.8033
42,19846,10237,9610,1.63,0.84,0.79,106.52,20334016.39,10488729.51,9846311.475,-221640.7787
43,17689,8996,8694,1.46,0.74,0.72,103.48,18123975.41,9217213.115,8907786.885,-197551.332
44,18895,9633,9262,1.56,0.79,0.76,104.01,19359631.15,9869877.049,9489754.098,-211019.9795
45,19046,9799,9247,1.56,0.79,0.77,105.96,19514344.26,10039959.02,9474385.246,-212706.3525
46,17082,8535,8547,1.39,0.69,0.69,99.87,17502049.18,8744877.049,8757172.131,-190772.3361
47,17376,8827,8549,1.4,0.71,0.69,103.25,17803278.69,9044057.377,8759221.311,-194055.7377
48,15087,7744,7343,1.22,0.62,0.6,105.46,15457991.8,7934426.23,7523565.574,-168492.1107
49,14450,7473,6977,1.18,0.61,0.57,107.1,14805327.87,7656762.295,7148565.574,-161378.0738
50,15366,7644,7722,1.24,0.61,0.63,99,15743852.46,7831967.213,7911885.246,-171607.9918
51,12772,6518,6255,1.02,0.52,0.5,104.21,13086065.57,6678278.689,6408811.475,-142638.1148
52,12170,6227,5943,0.99,0.5,0.49,104.77,12469262.3,6380122.951,6089139.344,-135914.959
53,11443,5765,5677,0.92,0.46,0.46,101.55,11724385.25,5906762.295,5816598.361,-127795.7992
54,10529,5381,5148,0.85,0.43,0.42,104.52,10787909.84,5513319.672,5274590.164,-117588.2172
55,10369,5268,5101,0.84,0.43,0.42,103.29,10623975.41,5397540.984,5226434.426,-115801.332
56,9519,4937,4582,0.78,0.4,0.38,107.75,9753073.77,5058401.639,4694672.131,-106308.5041
57,9555,4890,4665,0.78,0.4,0.38,104.81,9789959.016,5010245.902,4779713.115,-106710.5533
58,9766,4981,4785,0.8,0.4,0.39,104.08,10006147.54,5103483.607,4902663.934,-109067.0082
59,9134,4679,4456,0.76,0.39,0.38,105,9358606.557,4794057.377,4565573.77,-102008.8115
60,8898,4603,4295,0.75,0.38,0.37,107.17,9116803.279,4716188.525,4400614.754,-99373.15574
61,9124,4630,4494,0.77,0.38,0.38,103.01,9348360.656,4743852.459,4604508.197,-101897.1311
62,8981,4610,4371,0.74,0.38,0.36,105.46,9201844.262,4723360.656,4478483.607,-100300.1025
63,8665,4333,4332,0.73,0.36,0.37,100.01,8878073.77,4439549.18,4438524.59,-96771.0041
64,8367,4160,4207,0.69,0.34,0.35,98.88,8572745.902,4262295.082,4310450.82,-93442.93033
65,8092,4118,3974,0.68,0.34,0.33,103.61,8290983.607,4219262.295,4071721.311,-90371.72131
66,8347,4162,4185,0.68,0.34,0.34,99.45,8552254.098,4264344.262,4287909.836,-93219.56967
67,7234,3651,3584,0.6,0.3,0.3,101.87,7411885.246,3740778.689,3672131.148,-80789.54918
68,6856,3450,3407,0.56,0.28,0.27,101.26,7024590.164,3534836.066,3490778.689,-76568.03279
69,6723,3353,3370,0.55,0.28,0.27,99.51,6888319.672,3435450.82,3452868.852,-75082.68443
70,6370,3175,3195,0.51,0.25,0.25,99.36,6526639.344,3253073.77,3273565.574,-71140.36885
71,5929,2936,2992,0.47,0.24,0.24,98.13,6074795.082,3008196.721,3065573.77,-66215.26639
72,5156,2485,2671,0.41,0.2,0.21,93.01,5282786.885,2546106.557,2736680.328,-57582.37705
73,4700,2242,2458,0.37,0.18,0.19,91.19,4815573.77,2297131.148,2518442.623,-52489.7541
74,4646,2197,2449,0.37,0.18,0.19,89.74,4760245.902,2251024.59,2509221.311,-51886.68033
75,4214,1943,2271,0.33,0.15,0.18,85.55,4317622.951,1990778.689,2326844.262,-47062.09016
76,3548,1622,1925,0.28,0.13,0.15,84.26,3635245.902,1661885.246,1972336.066,-39624.18033
77,3267,1421,1846,0.26,0.12,0.14,77,3347336.066,1455942.623,1891393.443,-36485.96311
78,2975,1233,1742,0.23,0.1,0.13,70.79,3048155.738,1263319.672,1784836.066,-33224.89754
79,2425,1050,1375,0.19,0.08,0.1,76.36,2484631.148,1075819.672,1408811.475,-27082.47951
80,2264,951,1313,0.18,0.08,0.1,72.42,2319672.131,974385.2459,1345286.885,-25284.42623
81,1686,669,1017,0.13,0.06,0.08,65.71,1727459.016,685450.8197,1042008.197,-18829.30328
82,1561,637,925,0.12,0.05,0.07,68.82,1599385.246,652663.9344,947745.9016,-17433.29918
83,1364,503,861,0.1,0.04,0.06,58.39,1397540.984,515368.8525,882172.1311,-15233.19672
84,1124,425,699,0.09,0.03,0.05,60.87,1151639.344,435450.8197,716188.5246,-12552.86885
85,963,370,594,0.07,0.03,0.04,62.3,986680.3279,379098.3607,608606.5574,-10754.81557
86,831,304,526,0.06,0.02,0.04,57.79,851434.4262,311475.4098,538934.4262,-9280.635246
87,556,233,323,0.04,0.02,0.03,72.19,569672.1311,238729.5082,330942.623,-6209.42623
88,459,141,318,0.03,0.01,0.02,44.46,470286.8852,144467.2131,325819.6721,-5126.127049
89,286,100,186,0.02,0.01,0.01,53.53,293032.7869,102459.0164,190573.7705,-3194.057377
90+,930,255,675,0.09,0.01,0.05,37.77777778,952868.8525,261270.4918,691598.3607,-10386.27049
,,,,,,,,1241764344,,,
