Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,12312,6687,5625,1.09,0.59,0.5,118.87,14896208.4,8090557.635,6805650.769,-363467.4851
1,10683,5707,4976,0.95,0.51,0.44,114.69,12925291.94,6904862.034,6020429.907,-315377.1234
2,12925,7066,5859,1.15,0.63,0.52,120.6,15637873.1,8549107.26,7088765.841,-381564.1037
3,13797,7524,6273,1.23,0.67,0.56,119.95,16692900.21,9103238.469,7589661.738,-407306.7651
4,14264,7710,6554,1.27,0.69,0.58,117.65,17257920.46,9328278.655,7929641.803,-421093.2592
5,12816,6857,5959,1.14,0.61,0.53,115.07,15505994.71,8296239.525,7209755.188,-378346.271
6,12907,7013,5893,1.15,0.62,0.52,119,15616095.02,8484982.906,7129902.219,-381032.7185
7,12287,6675,5612,1.09,0.59,0.5,118.93,14865961.07,8076038.913,6789922.154,-362729.45
8,12307,6741,5566,1.09,0.6,0.49,121.1,14890158.94,8155891.882,6734267.055,-363319.8781
9,10993,5967,5026,0.98,0.53,0.45,118.71,13300358.92,7219434.336,6080924.581,-324528.7576
10,11280,6045,5235,1,0.54,0.47,115.46,13647598.34,7313806.027,6333792.316,-333001.3996
11,12034,6456,5578,1.07,0.57,0.5,115.74,14559858.02,7811072.243,6748785.776,-355260.5357
12,12143,6662,5481,1.08,0.59,0.49,121.55,14691736.41,8060310.298,6631426.11,-358478.3683
13,11640,6403,5237,1.03,0.57,0.47,122.27,14083159.99,7746947.889,6336212.103,-343629.1038
14,12748,6804,5944,1.13,0.61,0.53,114.47,15423721.96,8232115.171,7191606.786,-376338.8158
15,13466,7057,6409,1.2,0.63,0.57,110.13,16292425.47,8538218.219,7754207.25,-397535.1814
16,14955,7872,7083,1.33,0.7,0.63,111.14,18093956.85,9524281.397,8569675.449,-441492.547
17,15872,8465,7407,1.41,0.75,0.66,114.29,19203429.16,10241748.22,8961680.933,-468563.6714
18,14430,7632,6798,1.28,0.68,0.6,112.26,17458762.77,9233906.964,8224855.81,-425993.8117
19,15190,7882,7308,1.35,0.7,0.65,107.86,18378281.81,9536380.331,8841901.48,-448430.0762
20,17480,9271,8210,1.55,0.82,0.73,112.92,21148937.86,11216922.36,9933225.39,-516034.0837
21,18453,9428,9025,1.64,0.84,0.8,104.47,22326164.2,11406875.64,10919288.57,-544758.4066
22,23079,11611,11468,2.05,1.03,1.02,101.25,27923131.4,14048073.08,13875058.32,-681324.4061
23,21820,11080,10740,1.94,0.99,0.95,103.17,26399875.52,13405619.65,12994255.87,-644156.9626
24,20909,10643,10266,1.86,0.95,0.91,103.67,25297662.57,12876896.2,12420766.36,-617262.9666
25,21057,10619,10438,1.87,0.94,0.93,101.73,25476726.8,12847858.76,12628868.04,-621632.1339
26,18903,9444,9459,1.68,0.84,0.84,99.85,22870616.27,11426233.93,11444382.33,-558043.0369
27,16675,8415,8260,1.48,0.75,0.73,101.88,20174973.61,10181253.55,9993720.063,-492269.3562
28,16682,8460,8222,1.48,0.75,0.73,102.89,20183442.87,10235698.76,9947744.111,-492476.006
29,16618,8318,8300,1.48,0.74,0.74,100.22,20106009.69,10063893.88,10042115.8,-490586.6363
30,18547,9348,9199,1.65,0.83,0.82,101.62,22439894.19,11310084.16,11129810.03,-547533.4182
31,16502,8366,8136,1.47,0.74,0.72,102.82,19965662.04,10121968.77,9843693.273,-487162.1539
32,15684,8020,7663,1.39,0.71,0.68,104.66,18975969.19,9703345.63,9271413.662,-463013.6481
33,16487,8445,8042,1.47,0.75,0.72,105.01,19947513.64,10217550.36,9729963.287,-486719.3329
34,16366,8360,8006,1.46,0.74,0.71,104.43,19801116.53,10114709.41,9686407.122,-483147.2434
35,15232,7729,7503,1.35,0.69,0.67,103.01,18429097.34,9351266.631,9077830.706,-449669.975
36,16955,8665,8290,1.51,0.77,0.74,104.53,20513743.79,10483726.92,10030016.87,-500535.3484
37,17469,8947,8522,1.55,0.8,0.76,104.99,21135629.03,10824916.88,10310712.15,-515709.3483
38,19184,9837,9347,1.71,0.87,0.83,105.24,23210596.33,11901722.07,11308874.27,-566338.5505
39,20214,10346,9869,1.8,0.92,0.88,104.83,24456786.61,12517557.84,11940438.66,-596745.5932
40,20673,10576,10098,1.84,0.94,0.9,104.73,25012127.71,12795833.34,12217504.26,-610295.9161
41,20834,10700,10135,1.85,0.95,0.9,105.57,25206920.56,12945860.13,12262270.32,-615048.8616
42,22667,11530,11137,2.02,1.03,0.99,103.53,27424655.29,13950071.71,13474583.58,-669161.589
43,20767,10590,10177,1.85,0.94,0.9,104.05,25125857.69,12812771.85,12313085.85,-613070.9277
44,22591,11518,11073,2.01,1.02,0.98,104.02,27332703.38,13935552.99,13397150.39,-666917.9626
45,17550,8932,8618,1.56,0.79,0.77,103.65,21233630.4,10806768.48,10426861.93,-518100.5818
46,19813,10116,9697,1.76,0.9,0.86,104.33,23971619.32,12239282.34,11732336.98,-584907.5115
47,20066,10263,9803,1.78,0.91,0.87,104.7,24277722.37,12417136.68,11860585.69,-592376.4259
48,19391,9767,9623,1.72,0.87,0.86,101.5,23461044.28,11817029.52,11642804.86,-572449.4804
49,22492,11484,11008,2,1.02,0.98,104.33,27212923.93,13894416.61,13318507.32,-663995.3439
50,16364,8344,8021,1.46,0.74,0.71,104.03,19798696.75,10095351.11,9704555.524,-483088.2006
51,9197,4570,4627,0.82,0.41,0.41,98.77,11127390.24,5529213.158,5598177.086,-271508.322
52,11690,5932,5758,1.04,0.53,0.51,103.03,14143654.67,7177088.065,6966566.601,-345105.1738
53,10844,5507,5337,0.96,0.49,0.47,103.18,13120084.79,6662883.34,6457201.45,-320130.0689
54,13821,7201,6620,1.23,0.64,0.59,108.78,16721937.65,8712442.878,8009494.772,-408015.2787
55,15186,7762,7424,1.35,0.69,0.66,104.56,18373442.24,9391193.115,8982249.122,-448311.9906
56,14087,7194,6893,1.25,0.64,0.61,104.36,17043769.31,8703973.624,8339795.69,-415867.9713
57,14392,7290,7102,1.28,0.65,0.63,102.64,17412786.82,8820123.397,8592663.425,-424871.9985
58,14487,7283,7204,1.29,0.65,0.64,101.11,17527726.7,8811654.143,8716072.559,-427676.5315
59,13252,6607,6645,1.18,0.59,0.59,99.43,16033508.27,7993766.157,8039742.109,-391217.6017
60,13259,6612,6646,1.18,0.59,0.59,99.49,16041977.52,7999815.624,8040952.002,-391424.2515
61,11246,5520,5726,1,0.49,0.51,96.4,13606461.96,6678611.955,6927850.01,-331997.6719
62,11015,5679,5336,0.98,0.5,0.47,106.42,13326976.57,6870985.017,6455991.557,-325178.2284
63,10675,5445,5230,0.95,0.48,0.46,104.12,12915612.79,6587869.945,6327742.849,-315140.9522
64,9232,4672,4561,0.82,0.42,0.41,102.42,11169736.52,5652622.292,5518324.117,-272541.571
65,8807,4370,4437,0.78,0.39,0.39,98.48,10655531.79,5287234.464,5368297.327,-259994.9757
66,8220,4025,4195,0.73,0.36,0.37,95.93,9945324.324,4869821.217,5075503.107,-242665.9135
67,7354,3714,3641,0.65,0.33,0.32,102.01,8897556.579,4493544.348,4405222.125,-217100.3805
68,6958,3521,3437,0.62,0.31,0.31,102.46,8418438.765,4260034.908,4158403.857,-205409.9059
69,6241,3099,3141,0.55,0.28,0.28,98.66,7550945.147,3749459.864,3800275.39,-184243.0616
70,6199,3156,3043,0.55,0.28,0.27,103.71,7500129.621,3818423.792,3681705.83,-183003.1628
71,6166,3028,3137,0.55,0.27,0.28,96.53,7460203.137,3663557.428,3795435.816,-182028.9565
72,5702,2838,2864,0.51,0.25,0.25,99.08,6898812.567,3433677.668,3465134.898,-168331.0266
73,4809,2355,2454,0.43,0.21,0.22,95.99,5818377.698,2849299.122,2969078.576,-141968.4158
74,5349,2614,2736,0.48,0.23,0.24,95.55,6471720.172,3162661.531,3310268.534,-157909.9722
75,4823,2364,2460,0.43,0.21,0.22,96.1,5835316.206,2860188.163,2976337.936,-142381.7154
76,4641,2223,2418,0.41,0.2,0.21,91.95,5615115.595,2689593.184,2925522.411,-137008.8205
77,4209,1961,2247,0.37,0.17,0.2,87.27,5092441.616,2372601.095,2718630.627,-124255.5754
78,3856,1823,2033,0.34,0.16,0.18,89.67,4665349.221,2205635.796,2459713.425,-113834.521
79,3722,1754,1968,0.33,0.16,0.17,89.11,4503223.496,2122153.147,2381070.349,-109878.6533
80,3130,1415,1715,0.28,0.13,0.15,82.49,3786966.561,1711999.26,2074967.301,-92401.9841
81,2611,1247,1363,0.23,0.11,0.12,91.48,3159031.85,1508737.157,1649084.8,-77080.37715
82,2637,1155,1482,0.23,0.1,0.13,77.93,3190489.081,1397426.958,1793062.123,-77847.93357
83,1941,816,1125,0.17,0.07,0.1,72.54,2348403.226,987273.0716,1361130.154,-57301.0387
84,1828,795,1033,0.16,0.07,0.09,76.97,2211685.263,961865.3087,1249819.955,-53965.12043
85,1376,571,805,0.12,0.05,0.07,70.94,1664813.415,690849.1714,973964.2434,-40621.44732
86,1146,451,696,0.1,0.04,0.06,64.78,1386537.917,545661.955,842085.8552,-33831.52517
87,972,363,609,0.09,0.03,0.05,59.72,1176016.453,439191.3297,736825.1233,-28694.80145
88,728,284,444,0.06,0.03,0.04,63.87,880802.4462,343609.7455,537192.7007,-21491.57969
89,558,190,368,0.05,0.02,0.03,51.75,675120.5563,229879.7593,445240.797,-16472.94157
90+,1722,550,1173,0.15,0.05,0.11,280.2,2083436.556,665441.4086,1419205.04,-50835.85197
