Age,PTotal,PMale,PFemale,PTTP,PTTPMale,PTTPFemale,sex_ratio,predicted_total_population_total,predicted_total_population_Male,predicted_total_population_Female,net_migration
0,172308,92746,79562,1.39,0.75,0.64,116.57,17052381.78,9178565.131,7873816.649,-173934.2942
1,149659,81965,67694,1.21,0.66,0.55,121.08,14810933.94,8111628.436,6699305.501,-151071.5262
2,176120,96520,79600,1.42,0.78,0.64,121.26,17429634.6,9552057.301,7877577.302,-177782.2729
3,188911,102719,86192,1.53,0.83,0.7,119.17,18695490.02,10165538.48,8529951.543,-190693.9982
4,214258,114610,99648,1.73,0.93,0.81,115.01,21203944.19,11342325.81,9861618.379,-216280.2307
5,269053,142744,126309,2.18,1.15,1.02,113.01,26626706.1,14126594.15,12500111.95,-271592.4022
6,269090,140809,128282,2.18,1.14,1.04,109.77,26630367.79,13935097.77,12695368.99,-271629.7515
7,258518,135324,123193,2.09,1.09,1,109.85,25584114.68,13392277.27,12191738.45,-260957.9698
8,280753,146619,134134,2.27,1.19,1.08,109.31,27784591.21,14510081.74,13274509.47,-283402.8303
9,242811,126625,116186,1.96,1.02,0.94,108.99,24029678.67,12531384.75,11498293.92,-245102.7224
10,224017,116222,107794,1.81,0.94,0.87,107.82,22169739.13,11501856.65,10667783.51,-226131.3391
11,203234,105485,97749,1.64,0.85,0.79,107.91,20112959.11,10439274.39,9673684.719,-205152.1829
12,211852,110184,101668,1.71,0.89,0.82,108.38,20965835.51,10904308.76,10061526.75,-213851.5222
13,241613,125444,116169,1.95,1.01,0.94,107.98,23911119.15,12414507.63,11496611.53,-243893.4154
14,204026,105712,98314,1.65,0.85,0.79,107.52,20191339.03,10461739.34,9729599.684,-205951.6581
15,188956,97944,91012,1.53,0.79,0.74,107.62,18699943.43,9692982.805,9006960.62,-190739.4229
16,202061,104670,97390,1.63,0.85,0.79,107.47,19996873.71,10358618.29,9638156.45,-203968.1118
17,178302,91601,86701,1.44,0.74,0.7,105.65,17645575.23,9065250.734,8580324.493,-179984.8673
18,166617,85230,81386,1.35,0.69,0.66,104.72,16489174.59,8434747.656,8054327.968,-168189.5808
19,176800,90392,86408,1.43,0.73,0.7,104.61,17496930.49,8945602.606,8551327.883,-178468.691
20,182449,90781,91668,1.48,0.73,0.74,99.03,18055981.17,8984099.812,9071881.358,-184171.0079
